node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
61,62,6.64230544374951,102.154146843316,23.354619649399,102.757719003721,23.4506957442536,716.372552387203,709.730246943453,1966.66177055756,1973.30407600131,NA,main,main
62,63,6.89668452468909,102.757719003721,23.4506957442536,102.629785708036,23.5457548841272,723.269236911892,716.372552387203,1973.30407600131,1980.200760526,NA,main,main
62,66,14.9364324936191,102.757719003721,23.4506957442536,102.127242843794,16.9891458732059,731.308984880822,716.372552387203,1973.30407600131,1988.24050849493,NA,main,main
66,67,20.0378121794505,102.127242843794,16.9891458732059,102.159353987742,18.4218973383188,751.346797060272,731.308984880822,1988.24050849493,2008.27832067438,NA,main,main
71,72,3.92532306944017,106.685060632295,16.7215350609026,106.349988403455,13.8342184489564,753.565004410044,749.639681340604,2006.57120495471,2010.49652802415,NA,main,main
72,13,0.432239099136682,106.349988403455,13.8342184489564,106.350548543848,13.6573106921335,753.997243509181,753.565004410044,2010.49652802415,2010.92876712329,SC2_EPI_ISL_852604,main,main
72,14,0.432239099136682,106.349988403455,13.8342184489564,106.074397401492,13.8727717526896,753.997243509181,753.565004410044,2010.49652802415,2010.92876712329,SC2_EPI_ISL_852605,main,main
49,35,44.9421389200511,119.122119205167,28.1703129928995,119.263840318119,28.0871930793572,755.068476385893,710.126337465842,1967.05786107995,2012,SC2_KF294457.1,main,main
44,37,18.5360873693768,138.475710155303,37.9265899339673,141.154530304432,39.5597690215445,756.068476385893,737.532389016516,1994.46391263062,2013,SC2_LC556375.1,main,main
67,68,7.78484619284225,102.159353987742,18.4218973383188,102.28375788871,18.4893155207632,759.131643253115,751.346797060272,2008.27832067438,2016.06316686722,NA,main,main
54,55,14.5135777776697,102.730873545086,23.5035915904211,102.215371206094,22.5991880242353,759.622271122257,745.108693344587,2002.04021695869,2016.55379473636,NA,main,main
49,34,50.0270704269003,119.122119205167,28.1703129928995,122.217777353937,30.0768023241366,760.153407892743,710.126337465842,1967.05786107995,2017.08493150685,SC2_MG772933.1,main,main
56,31,49.8405910283555,100.895029913341,22.5429539326784,101.756369711205,24.8250611322715,761.068476385893,711.227885357538,1968.15940897164,2018,SC2_OP963576.1,main,main
55,30,2.02702718144465,102.215371206094,22.5991880242353,102.129840888919,22.7324529779074,761.649298303701,759.622271122257,2016.55379473636,2018.58082191781,SC2_MW703458.1,main,main
63,10,39.2786915287961,102.629785708036,23.5457548841272,101.711475559168,21.4442149573401,762.547928440688,723.269236911892,1980.200760526,2019.47945205479,SC2_EPI_ISL_412977,main,main
67,69,11.3355635042268,102.159353987742,18.4218973383188,102.3338013003,18.4669292311368,762.682360564499,751.346797060272,2008.27832067438,2019.61388417861,NA,main,main
56,32,52.0045254545852,100.895029913341,22.5429539326784,100.971434192086,22.2158500687219,763.232410812123,711.227885357538,1968.15940897164,2020.16393442623,SC2_OK287355.1,main,main
69,70,0.569043352005133,102.3338013003,18.4669292311368,102.358638339585,18.5557260304498,763.251403916504,762.682360564499,2019.61388417861,2020.18292753061,NA,main,main
61,11,53.7344043058282,102.154146843316,23.354619649399,101.758479609846,21.6800145921537,763.464651249281,709.730246943453,1966.66177055756,2020.39617486339,SC2_MZ081381.1,main,main
44,38,25.951387915825,138.475710155303,37.9265899339673,139.209850999546,37.1745909757464,763.483776932341,737.532389016516,1994.46391263062,2020.41530054645,SC2_LC663958.1,main,main
66,6,32.2239723793883,102.127242843794,16.9891458732059,101.135722688236,13.8297605796333,763.53295726021,731.308984880822,1988.24050849493,2020.46448087432,SC2_MW251308.1,main,main
68,1,4.44502985408992,102.28375788871,18.4893155207632,102.311045892462,18.4936209331163,763.576673107204,759.131643253115,2016.06316686722,2020.50819672131,SC2_MZ937000.1,main,main
69,5,0.899777023579838,102.3338013003,18.4669292311368,102.059479157223,18.4217625329002,763.582137588079,762.682360564499,2019.61388417861,2020.51366120219,SC2_MZ937001.1,main,main
70,3,0.330733671574706,102.358638339585,18.5557260304498,102.355650350066,18.4617849004513,763.582137588079,763.251403916504,2020.18292753061,2020.51366120219,SC2_MZ937002.1,main,main
68,2,4.45869105627578,102.28375788871,18.4893155207632,102.239125830827,18.5864807948872,763.59033430939,759.131643253115,2016.06316686722,2020.5218579235,SC2_MZ937003.1,main,main
70,4,0.338930392886084,102.358638339585,18.5557260304498,102.318498838764,18.8134347378815,763.59033430939,763.251403916504,2020.18292753061,2020.5218579235,SC2_MZ937004.1,main,main
51,52,50.368786322748,111.105875628316,27.9417905148849,111.646369726388,27.9788189482368,763.602713064128,713.23392674138,1970.16545035549,2020.53423667823,NA,main,main
52,25,0.550694828614714,111.646369726388,27.9788189482368,111.306394760645,27.9563626705326,764.153407892742,763.602713064128,2020.53423667823,2021.08493150685,SC2_OK017803.1,main,main
52,26,0.550694828614714,111.646369726388,27.9788189482368,111.767273639471,28.0187390862845,764.153407892742,763.602713064128,2020.53423667823,2021.08493150685,SC2_OK017804.1,main,main
51,27,50.9961934801299,111.105875628316,27.9417905148849,109.444677812856,27.9324598351296,764.23012022151,713.23392674138,1970.16545035549,2021.16164383562,SC2_OK017805.1,main,main
54,28,19.206358383772,102.730873545086,23.5035915904211,103.551763142521,24.2869498061884,764.315051728359,745.108693344587,2002.04021695869,2021.24657534247,SC2_OK017806.1,main,main
71,73,15.6163443039738,106.685060632295,16.7215350609026,106.616128206577,16.7628900004541,765.256025644578,749.639681340604,2006.57120495471,2022.18754925868,NA,main,main
73,74,0.21816266840842,106.616128206577,16.7628900004541,106.620987879132,16.4960869430738,765.474188312986,765.256025644578,2022.18754925868,2022.40571192709,NA,main,main
55,29,5.92839704445842,102.215371206094,22.5991880242353,102.056789366315,22.3698928529729,765.550668166715,759.622271122257,2016.55379473636,2022.48219178082,SC2_OR233302.1,main,main
73,75,0.362064027622227,106.616128206577,16.7628900004541,106.616533151789,16.8240180425114,765.6180896722,765.256025644578,2022.18754925868,2022.54961328631,NA,main,main
74,17,0.432644237290692,106.620987879132,16.4960869430738,106.653089947022,16.6840971189934,765.906832550277,765.474188312986,2022.40571192709,2022.83835616438,SC2_OR233322.1,main,main
75,15,0.288742878076998,106.616533151789,16.8240180425114,106.633957225715,16.8042463822908,765.906832550277,765.6180896722,2022.54961328631,2022.83835616438,SC2_OR233324.1,main,main
74,18,0.435383963318163,106.620987879132,16.4960869430738,106.932319611541,16.5001315178263,765.909572276304,765.474188312986,2022.40571192709,2022.84109589041,SC2_OR233328.1,main,main
75,16,0.291482604104355,106.616533151789,16.8240180425114,106.479986458484,16.796005967834,765.909572276304,765.6180896722,2022.54961328631,2022.84109589041,SC2_OR233323.1,main,main
