name,isolate,host,country,date,SOURCE,latitude,longitude,coordinates,coordinate_loc,coordinate_comment,general_comment,ACE2,submission_date
OK017819.1,GD2017M,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017820.1,GD2017N,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017821.1,GD2017O,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017822.1,GD2017P,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017823.1,GD2017Q,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017824.1,GD2017W,Rhinolophus sinicus,Guangdong,2017-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017846.1,SC2018B,Rhinolophus sinicus,Sichuan,2016-08,10.21203/rs.3.rs-885194/v1,31.34931671010588,102.62903716097208,"31.34931671010588, 102.62903716097208",Sichuan,province-level,,,2021.662899543379
OK017825.1,GD2019A,Rhinolophus sinicus,Guangdong,2019-08,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017826.1,GD2019B,Rhinolophus sinicus,Guangdong,2019-08,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017827.1,GD2019D,Rhinolophus sinicus,Guangdong,2019-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017828.1,GD2019E,Rhinolophus sinicus,Guangdong,2019-09,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017859.1,GX2019A,Rhinolophus siamensis,Guangxi,2019-09,10.21203/rs.3.rs-885194/v1,23.80307649605036,110.74813931498792,"23.80307649605036, 110.74813931498792",Guangxi,province-level,,,2021.662899543379
OK017801.1,HB2020D,Rhinolophus sp.,Hubei,2020-07,10.21203/rs.3.rs-885194/v1,31.695111423993936,111.07961660868963,"31.695111423993936, 111.07961660868965",Hubei,province-level,,,2021.662899543379
OK017802.1,HB2020E,Rhinolophus sp.,Hubei,2020-07,10.21203/rs.3.rs-885194/v1,31.695111423993936,111.07961660868963,"31.695111423993936, 111.07961660868965",Hubei,province-level,,,2021.662899543379
OK017794.1,LN2020A,Rhinolophus ferrumequinum,Liaoning,2020-09,10.21203/rs.3.rs-885194/v1,41.18857072926328,124.2218530800912,"41.18857072926328, 124.22185308009118",Liaoning,province-level,,,2021.662899543379
OK017795.1,LN2020B,Rhinolophus ferrumequinum,Liaoning,2020-09,10.21203/rs.3.rs-885194/v1,41.18857072926328,124.2218530800912,"41.18857072926328, 124.22185308009118",Liaoning,province-level,,,2021.662899543379
OK017796.1,LN2020C,Rhinolophus ferrumequinum,Liaoning,2020-09,10.21203/rs.3.rs-885194/v1,41.18857072926328,124.2218530800912,"41.18857072926328, 124.22185308009118",Liaoning,province-level,,,2021.662899543379
