name;isolate;host;country;date;fn_coordinates;coordinate_comment
KF294457.1;Longquan-140;Rhinolophus monoceros;Zhejiang;2012;"(28.076699974144574; 119.13948539295212)";
KF569996.1;LYRa11;Rhinolophus affinis;Yunnan;2011;"(25.251251890152414; 99.11107516062106)";
KC881006.1;Rs3367;Rhinolophus sinicus;Yunnan;2012-03-19;"(24.88310543031881; 102.82153645198403)";
KF367457.1;WIV1;Rhinolophus sinicus;Yunnan;2012-09;"(24.88310543031881; 102.82153645198403)";
DQ648857.1;BtCoV/279/2005;Rhinolophus macrotis;Hubei;2004;"(33.25967309318875; 110.97762911146998);(31.7708811340717; 114.50487961478888);(29.687411520563927; 115.10816994487408);(29.607252594257268; 112.63521050936967);(29.122545037113703; 109.22867395815675);(31.168033010608404; 110.18963525744485)";province-level
MG772933.1;bat-SL-CoVZC45;Rhinolophus pusillus;Zhejiang;2017-02;"(29.99128034348341; 122.19445047566558)";
MG772934.1;bat-SL-CoVZXC21;Rhinolophus pusillus;Zhejiang;2015-07;"(29.99128034348341; 122.19445047566558)";
MT040333.1;PCoV_GX-P4L;Manis javanica;Guangxi;2017;"(24.739861261884364; 112.01599264393715);(21.49154774681289; 109.77160731218896);(21.61211737150555; 107.68761505569269);(23.504795490994173; 105.81040132826685);(25.265200340902382; 106.98428862640856);(25.874893992507573; 109.7948000390982)";province-level
MT040334.1;PCoV_GX-P1E;Manis javanica;Guangxi;2017;"(24.739861261884364; 112.01599264393715);(21.49154774681289; 109.77160731218896);(21.61211737150555; 107.68761505569269);(23.504795490994173; 105.81040132826685);(25.265200340902382; 106.98428862640856);(25.874893992507573; 109.7948000390982)";province-level
MT040335.1;PCoV_GX-P5L;Manis javanica;Guangxi;2017;"(24.739861261884364; 112.01599264393715);(21.49154774681289; 109.77160731218896);(21.61211737150555; 107.68761505569269);(23.504795490994173; 105.81040132826685);(25.265200340902382; 106.98428862640856);(25.874893992507573; 109.7948000390982)";province-level
MT040336.1;PCoV_GX-P5E;Manis javanica;Guangxi;2017;"(24.739861261884364; 112.01599264393715);(21.49154774681289; 109.77160731218896);(21.61211737150555; 107.68761505569269);(23.504795490994173; 105.81040132826685);(25.265200340902382; 106.98428862640856);(25.874893992507573; 109.7948000390982)";province-level
MT072864.1;PCoV_GX-P2V;Manis javanica;Guangxi;2018;"(24.739861261884364; 112.01599264393715);(21.49154774681289; 109.77160731218896);(21.61211737150555; 107.68761505569269);(23.504795490994173; 105.81040132826685);(25.265200340902382; 106.98428862640856);(25.874893992507573; 109.7948000390982)";province-level
JX993987.1;Rp/Shaanxi2011;Rhinolophus pusillus;Shaanxi;2011-09;"(39.36765078366305; 111.13383073005156);(34.91651172701481; 110.28240616508185);(32.592565334587064; 109.75009116794784);(32.829067290714974; 105.93335072393035);(35.085220872189154; 106.69926957282499);(37.30074293178889; 107.263998501543)";province-level
KU973692.1;F46;Rhinolophus pusillus;Yunnan;2012;"(24.39496769562519; 98.51836864225497)";
JX993988.1;Cp/Yunnan2011;Chaerephon plicata;Yunnan;2011;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
DQ071615.1;Rp3;Rhinolophus pearsoni;Guangxi;2004-12;"(22.859655983680142; 108.35581145802243)";
FJ588686.1;Rs672;Rhinolophus sinicus;Guizhou;2006;"(28.50357679899369; 109.27030909441552);(26.17675970121612; 109.46143951858332);(25.42905136933087; 107.30647192913585);(25.79274765480488; 104.38726207346187);(27.709053887557445; 105.30016133626333);(28.640266538343063; 106.8630158134132)";province-level
AY394995.1;HSZ-Cc;Homo sapiens;Guangdong;2002-12;"(23.189389680229997; 113.22208821094603)";
KY417147.1;Rs4237;Rhinolophus sinicus;Yunnan;2013-04-17;"(24.88310543031881; 102.82153645198403)";
KJ473816.1;BtRs-YN2013;Rhinolophus sinicus;Yunnan;2013;"(24.88310543031881; 102.82153645198403)";
MK211378.1;BtRs-BetaCoV/YN2018D;Rhinolophus sinicus;Yunnan;2016-09;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
MK211375.1;BtRs-BetaCoV/YN2018A;Rhinolophus sinicus;Yunnan;2016-09;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
MK211376.1;BtRs-BetaCoV/YN2018B;Rhinolophus sinicus;Yunnan;2016-09;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
KY417150.1;Rs4874;Rhinolophus sinicus;Yunnan;2013-07-21;"(24.88310543031881; 102.82153645198403)";
KT444582.1;WIV16;Rhinolophus sinicus;Yunnan;2013-07-21;"(24.88310543031881; 102.82153645198403)";
KY417143.1;Rs4081;Rhinolophus sinicus;Yunnan;2012-09-18;"(24.88310543031881; 102.82153645198403)";
KC881005.1;RsSHC014;Rhinolophus sinicus;Yunnan;2011-04-17;"(24.88310543031881; 102.82153645198403)";
KY770858.1;Anlong-103;Rhinolophus sinicus;Guizhou;2013;"(25.095474745049195; 105.43539603254231)";
KY770859.1;Anlong-112;Rhinolophus sinicus;Guizhou;2013;"(25.095474745049195; 105.43539603254231)";
KY417148.1;Rs4247;Rhinolophus sinicus;Yunnan;2013-04-17;"(24.88310543031881; 102.82153645198403)";
KY417146.1;Rs4231;Rhinolophus sinicus;Yunnan;2013-04-17;"(24.88310543031881; 102.82153645198403)";
KY417149.1;Rs4255;Rhinolophus sinicus;Yunnan;2013-04-17;"(24.88310543031881; 102.82153645198403)";
KY417151.1;Rs7327;Rhinolophus sinicus;Yunnan;2014-10-24;"(24.88310543031881; 102.82153645198403)";
KY417142.1;As6526;Aselliscus stoliczkanus;Yunnan;2014-05-12;"(24.88310543031881; 102.82153645198403)";
KY417144.1;Rs4084;Rhinolophus sinicus;Yunnan;2012-09-18;"(24.88310543031881; 102.82153645198403)";
KY417152.1;Rs9401;Rhinolophus sinicus;Yunnan;2015-10-16;"(24.88310543031881; 102.82153645198403)";
KY417145.1;Rf4092;Rhinolophus ferrumequinum;Yunnan;2012-09-18;"(24.88310543031881; 102.82153645198403)";
MK211377.1;BtRs-BetaCoV/YN2018C;Rhinolophus sinicus;Yunnan;2016-09;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
GQ153544.1;HKU3-9;Rhinolophus sinicus;Guangdong;2006-08-28;"(22.33342970394504; 114.17708843455159)";
GQ153545.1;HKU3-10;Rhinolophus sinicus;Guangdong;2006-08-28;"(22.33342970394504; 114.17708843455159)";
GQ153548.1;HKU3-13;Rhinolophus sinicus;Guangdong;2007-11-15;"(22.33342970394504; 114.17708843455159)";
GQ153546.1;HKU3-11;Rhinolophus sinicus;Guangdong;2007-03-07;"(22.33342970394504; 114.17708843455159)";
GQ153540.1;HKU3-5;Rhinolophus sinicus;Guangdong;2005-09-20;"(22.33342970394504; 114.17708843455159)";
