node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade,distance,dispersal_velocity
30,31,85.5797909356606,112.420339064769,26.4000799122186,109.309675402466,24.0685209944513,85.5797909356606,0.0,1634.83766879952,1720.41745973518,,main,main,406.09971023989357,4.745275792332816
30,50,85.5520049651507,112.420339064769,26.4000799122186,112.938247884222,25.5841449185908,85.5520049651507,0.0,1634.83766879952,1720.38967376467,,main,main,104.21264987680131,1.2181204861213009
50,51,104.655350405601,112.938247884222,25.5841449185908,111.905248926922,26.2615190063303,190.207355370752,85.5520049651507,1720.38967376467,1825.04502417027,,main,main,127.83316743327943,1.2214680562231244
31,36,108.923464105727,109.309675402466,24.0685209944513,109.53701979001,24.5221195551838,194.503255041388,85.5797909356606,1720.41745973518,1829.3409238409,,main,main,55.289177513593046,0.5075965768030144
36,37,103.956668018925,109.53701979001,24.5221195551838,104.538010672626,16.7982530139289,298.459923060313,194.503255041388,1829.3409238409,1933.29759185983,,main,main,1001.0047354886036,9.629057515640783
51,56,140.018462047428,111.905248926922,26.2615190063303,120.943935490389,30.4333376318987,330.22581741818,190.207355370752,1825.04502417027,1965.0634862177,,main,main,999.0413392694721,7.135068652097251
37,38,38.9118367836384,104.538010672626,16.7982530139289,107.32016358578,17.9189026365703,337.371759843951,298.459923060313,1933.29759185983,1972.20942864347,,main,main,320.64044571761474,8.240177596870401
38,39,7.35699221331672,107.32016358578,17.9189026365703,103.591907220944,19.7072054717796,344.728752057268,337.371759843951,1972.20942864347,1979.56642085678,,main,main,440.00359678261486,59.80753873657425
39,43,3.142040200909,103.591907220944,19.7072054717796,103.602685726868,19.6236209019368,347.870792258177,344.728752057268,1979.56642085678,1982.70846105769,,main,main,9.321605646269406,2.9667365947681517
56,57,20.9594057501064,120.943935490389,30.4333376318987,122.484805405252,30.7594246837914,351.185223168287,330.22581741818,1965.0634862177,1986.0228919678,,main,main,152.13188701523592,7.258406503937433
39,40,8.29043532915596,103.591907220944,19.7072054717796,103.437485125491,19.504044845137,353.019187386424,344.728752057268,1979.56642085678,1987.85685618594,,main,main,27.716759693906514,3.3432212656471356
43,44,7.42678904305283,103.602685726868,19.6236209019368,101.818193372365,18.7011062495691,355.29758130123,347.870792258177,1982.70846105769,1990.13525010075,,main,main,213.68547383558968,28.77225576179189
51,52,166.545281845905,111.905248926922,26.2615190063303,111.122973784136,28.6657268039487,356.752637216657,190.207355370752,1825.04502417027,1991.59030601617,,main,main,277.4040247987869,1.6656372472650007
52,53,6.76997996941187,111.122973784136,28.6657268039487,110.315166543569,28.6426057462425,363.522617186069,356.752637216657,1991.59030601617,1998.36028598558,,main,main,79.0138342694162,11.671206506727726
43,48,18.0721198973208,103.602685726868,19.6236209019368,102.13945853716,21.7210305891889,365.942912155498,347.870792258177,1982.70846105769,2000.78058095501,,main,main,277.78118194569674,15.370702691435659
52,55,17.3425691699523,111.122973784136,28.6657268039487,103.208865989223,23.8182917697874,374.095206386609,356.752637216657,1991.59030601617,2008.93287518613,,main,main,955.4144477559873,55.090709939986084
38,49,38.7128297661068,107.32016358578,17.9189026365703,105.804908018789,13.3654079712839,376.084589610058,337.371759843951,1972.20942864347,2010.92225840957,,main,main,529.3993697058713,13.675036748911651
49,26,0.0448648780970391,105.804908018789,13.3654079712839,106.412085949619,13.68144923804,376.129454488155,376.084589610058,2010.92225840957,2010.96712328767,SC2_EPI_ISL_852605,main,main,74.45014645046435,1659.4304856782337
49,8,0.0448648780970391,105.804908018789,13.3654079712839,106.042338260978,13.5343888542743,376.129454488155,376.084589610058,2010.92225840957,2010.96712328767,SC2_EPI_ISL_852604,main,main,31.7888241179026,708.5458707621125
57,9,26.0154641965804,122.484805405252,30.7594246837914,118.892131925098,28.2320453920933,377.200687364867,351.185223168287,1986.0228919678,2012.03835616438,SC2_KF294457.1,main,main,446.99396026134434,17.181856025467322
50,24,292.648682399717,112.938247884222,25.5841449185908,141.25436190536,39.3484825528356,378.200687364867,85.5520049651507,1720.38967376467,2013.03835616438,SC2_LC556375.1,main,main,3049.3107215199643,10.419697421890435
40,15,25.7404040880327,103.437485125491,19.504044845137,101.319000987264,23.2266740388774,378.759591474456,353.019187386424,1987.85685618594,2013.59726027397,SC2_MN996532.2,main,main,467.0558825393103,18.14485432870322
44,46,25.2905055623715,101.818193372365,18.7011062495691,102.063033401267,18.7224476040892,380.588086863601,355.29758130123,1990.13525010075,2015.42575566312,,main,main,25.931576218841496,1.0253482736787918
56,16,50.4707603576458,120.943935490389,30.4333376318987,122.213216085698,30.1876557068836,380.696577775826,330.22581741818,1965.0634862177,2015.53424657534,SC2_MG772934.1,main,main,125.08541020336605,2.478373801325482
57,4,31.1003957034297,122.484805405252,30.7594246837914,122.402129632647,30.2330625082532,382.285618871717,351.185223168287,1986.0228919678,2017.12328767123,SC2_MG772933.1,main,main,58.890273591871605,1.8935538362097843
46,47,2.49797384948426,102.063033401267,18.7224476040892,102.047662484951,18.7442229845255,383.086060713085,380.588086863601,2015.42575566312,2017.9237295126,,main,main,2.9046751690387813,1.1628124808586329
55,10,9.68630289606648,103.208865989223,23.8182917697874,103.776846838248,24.1453837884815,383.781509282675,374.095206386609,2008.93287518613,2018.61917808219,SC2_MW703458.1,main,main,68.21603335395528,7.042525314963793
44,45,29.0605522000268,101.818193372365,18.7011062495691,102.007868174422,18.556602169133,384.358133501256,355.29758130123,1990.13525010075,2019.19580230077,,main,main,25.621050726138478,0.8816436298177035
48,17,18.7372272641643,102.13945853716,21.7210305891889,101.516404296143,21.2255154996467,384.680139419662,365.942912155498,2000.78058095501,2019.51780821918,SC2_EPI_ISL_412977,main,main,84.73355214501113,4.522203362877892
48,21,19.6539500727577,102.13945853716,21.7210305891889,101.477145123822,21.3800183585464,385.596862228255,365.942912155498,2000.78058095501,2020.43453102777,SC2_MZ081381.1,main,main,78.30935261388491,3.9844078327251555
37,5,87.2052451788715,104.538010672626,16.7982530139289,100.996904512825,13.5317464037745,385.665168239184,298.459923060313,1933.29759185983,2020.5028370387,SC2_MW251308.1,main,main,524.7952206110042,6.0179318289234525
47,23,2.62282337309327,102.047662484951,18.7442229845255,102.256342412484,18.866795997783,385.708884086179,383.086060713085,2017.9237295126,2020.54655288569,SC2_MZ937000.1,main,main,25.84528950485168,9.853995419588859
46,25,5.12626170345201,102.063033401267,18.7224476040892,102.216892789052,18.7830177700244,385.714348567053,380.588086863601,2015.42575566312,2020.55201736657,SC2_MZ937001.1,main,main,17.554658692071957,3.4244562036797106
45,13,1.35621506579671,102.007868174422,18.556602169133,102.258670841537,18.8794327711733,385.714348567053,384.358133501256,2019.19580230077,2020.55201736657,SC2_MZ937002.1,main,main,44.45881964772253,32.78154089934486
47,20,2.63648457527913,102.047662484951,18.7442229845255,102.030669962316,18.8513389023569,385.722545288365,383.086060713085,2017.9237295126,2020.56021408788,SC2_MZ937003.1,main,main,11.991180429532939,4.5481701436707285
45,22,1.36441178710809,102.007868174422,18.556602169133,101.93976162566,18.543578905976,385.722545288365,384.358133501256,2019.19580230077,2020.56021408788,SC2_MZ937004.1,main,main,7.3332031764957994,5.3746260812058315
53,54,22.5516563330113,110.315166543569,28.6426057462425,110.279042675866,28.5203387204623,386.07427351908,363.522617186069,1998.36028598558,2020.9119423186,,main,main,14.003957114414833,0.620972442450523
54,29,0.211345352636588,110.279042675866,28.5203387204623,109.965798027144,28.6310812067925,386.285618871717,386.07427351908,2020.9119423186,2021.12328767123,SC2_OK017804.1,main,main,33.01235277598859,156.20098745560733
54,7,0.211345352636588,110.279042675866,28.5203387204623,109.941526900294,28.5219274735988,386.285618871717,386.07427351908,2020.9119423186,2021.12328767123,SC2_OK017803.1,main,main,33.03805560402425,156.32260275357822
53,11,22.839714014415,110.315166543569,28.6426057462425,109.677931740285,29.3550744317525,386.362331200484,363.522617186069,1998.36028598558,2021.2,SC2_OK017805.1,main,main,100.45456065573231,4.398240739456355
55,18,12.3520563207241,103.208865989223,23.8182917697874,103.001696589121,23.9767099447269,386.447262707333,374.095206386609,2008.93287518613,2021.28493150685,SC2_OK017806.1,main,main,27.43939532239366,2.2214435078600023
42,3,2.24053771873358,107.237808491063,26.6955384687145,110.591564408854,28.8994043346157,385.200687364867,382.960149646134,2017.79781844565,2020.03835616438,Ghost2,,,410.9037110230031,183.39513215392702
42,1,2.24053771873358,107.237808491063,26.6955384687145,106.866435327848,26.5211614325508,385.200687364867,382.960149646134,2017.79781844565,2020.03835616438,Ghost1,,,41.72949115799418,18.624766192992706
40,41,23.9557482178527,103.437485125491,19.504044845137,107.359444443029,27.045065253176,376.974935604276,353.019187386424,1987.85685618594,2011.81260440379,sc_ghost_mrca,,,926.3587051091725,38.66957928781436
40,41,32.09656847158999,103.437485125491,19.504044845137,109.20468001822034,29.123380697574813,376.974935604276,353.019187386424,1987.85685618594,2019.95342465753,ghostMRCAparent_to_SC2_MN908947.3,,,1215.1483252603605,37.85913520119569
41,2,8.14082025374168,107.359444443029,27.045065253176,109.09342358059477,29.183210671153905,385.115755858018,376.974935604276,2011.81260440379,2019.95342465753,SC2_MN908947.3,,,291.835657074541,35.848433938878294
