node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade,distance,dispersal_velocity
141,142,1.85374845556601,119.586719668247,31.1120906608319,120.258395158446,31.2207656340683,1.85374845556601,0.0,1297.11298819654,1298.96673665211,,main,main,65.15979231087653,35.150288117694544
142,143,346.711239630343,120.258395158446,31.2207656340683,124.804324420811,31.0745282685338,348.564988085909,1.85374845556601,1298.96673665211,1645.67797628245,,main,main,433.75771151238706,1.2510633112870853
141,159,544.318527765464,119.586719668247,31.1120906608319,115.390065192345,27.2036634622111,544.318527765464,0.0,1297.11298819654,1841.43151596201,,main,main,595.1704968528119,1.0934231823710014
159,208,36.9500664777603,115.390065192345,27.2036634622111,115.621329499046,27.8999241514376,581.268594243224,544.318527765464,1841.43151596201,1878.38158243977,,main,main,80.46412207216336,2.177644852698534
159,160,48.0370320181018,115.390065192345,27.2036634622111,106.957809016359,26.7542651404031,592.355559783566,544.318527765464,1841.43151596201,1889.46854798011,,main,main,838.4187764152398,17.453592388874032
143,144,248.393796137467,124.804324420811,31.0745282685338,125.042303932991,31.1073222422703,596.958784223377,348.564988085909,1645.67797628245,1894.07177241992,,main,main,22.995718297498705,0.09257766761925218
208,258,32.5330406580808,115.621329499046,27.8999241514376,110.193859128857,32.6216951829261,613.801634901305,581.268594243224,1878.38158243977,1910.91462309785,,main,main,739.2067699735127,22.721723977248434
160,164,21.9552531484507,106.957809016359,26.7542651404031,102.774908221351,26.7261825414402,614.310812932017,592.355559783566,1889.46854798011,1911.42380112856,,main,main,416.1160173111709,18.952913660234184
258,259,5.08442341536291,110.193859128857,32.6216951829261,110.162125413532,32.4985680876725,618.886058316668,613.801634901305,1910.91462309785,1915.99904651321,,main,main,13.975837879027104,2.7487557068512856
160,161,35.5118148395899,106.957809016359,26.7542651404031,106.981356686233,26.7146909863072,627.867374623156,592.355559783566,1889.46854798011,1924.9803628197,,main,main,4.971374727318612,0.13999213359764248
258,266,14.9744921656911,110.193859128857,32.6216951829261,101.022487144078,32.9615800516951,628.776127066996,613.801634901305,1910.91462309785,1925.88911526354,,main,main,859.6575686387397,57.40812837769213
259,260,17.6344290352102,110.162125413532,32.4985680876725,109.835077747736,32.3086993708719,636.520487351878,618.886058316668,1915.99904651321,1933.63347554842,,main,main,37.28227701116,2.1141754539780937
164,170,34.0696224712464,102.774908221351,26.7261825414402,103.94592598143,26.0528145660511,648.380435403263,614.310812932017,1911.42380112856,1945.49342359981,,main,main,138.63459857161592,4.069155702814694
164,165,35.6304877829408,102.774908221351,26.7261825414402,101.201397420662,26.4054354884879,649.941300714957,614.310812932017,1911.42380112856,1947.0542889115,,main,main,160.7500909053175,4.511588274755015
170,171,8.44647857159487,103.94592598143,26.0528145660511,103.982565692401,26.0227589430602,656.826913974858,648.380435403263,1945.49342359981,1953.9399021714,,main,main,4.953321280307485,0.5864362572309463
208,209,78.5389823375003,115.621329499046,27.8999241514376,116.046250035469,27.7543059624913,659.807576580725,581.268594243224,1878.38158243977,1956.92056477727,,main,main,44.86496613245978,0.5712445564887073
165,167,10.7442514545774,101.201397420662,26.4054354884879,101.218348641863,25.1188589714261,660.685552169535,649.941300714957,1947.0542889115,1957.79854036608,,main,main,142.5427376924404,13.266883997927335
260,261,26.6341603625823,109.835077747736,32.3086993708719,109.522181733242,28.9743146176081,663.154647714461,636.520487351878,1933.63347554842,1960.267635911,,main,main,370.87563954237993,13.9248106376732
259,264,46.5360086588617,110.162125413532,32.4985680876725,110.728085385101,30.811038151959,665.42206697553,618.886058316668,1915.99904651321,1962.53505517207,,main,main,194.66090412493108,4.1830167591706955
