mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches
21.8870270622859	8.00035103497847	2.53478251111823	3101.61738926585	1670.4437283226	4.78780800115191
25.6683845263761	14.7816515175677	1.84086863009765	3841.27226256124	3437.42434728509	3.70701844486472
60.1886655172268	24.4068986495917	2.10213941662976	10236.6036275602	6712.35259442194	3.17697751553959
30.9351766734114	14.6906904674776	2.42659797488276	5393.04851819098	2759.57349455263	4.94652392006057
19.4683400178666	11.5339038605485	1.9201022934902	2829.29908579834	2206.49022898182	5.20495050437814
24.5099144990334	10.8395129092874	1.7412854929334	2002.33155668896	2019.05574488073	4.01375368925426
27.4234553308231	14.5533706725706	1.46265855986119	2786.49349042009	3316.05536549318	3.80008499604587
36.7740595518109	10.2366919625964	1.43200514734418	2621.70716949677	1914.24484816964	4.73448083228819
22.4499052583144	12.9655348318263	2.34576767495839	4253.99687614405	2930.19464485358	4.45267423263939
21.8334754088398	14.6708416591197	1.72110238843881	3213.52025302405	4314.81226709646	4.07422415781016
25.9796188146998	17.9916083097559	1.75851555217422	4274.47479196381	3680.75865585278	4.06159363925147
39.9799337858426	20.5787573692168	1.75183283920345	5919.06459027201	4379.86827964035	4.57927624648903
25.3968986583885	11.2234942880248	2.0790283558533	3378.06767243192	2108.10645145706	4.31168406871167
22.8333412069311	9.22380144547603	2.60077409287436	2567.39660968389	2028.30166678913	4.21816727527636
19.0015171391878	13.8597664430617	1.7433113415679	2928.62057552149	2968.25794518172	4.15849073723635
21.7406382161509	18.7696198864021	1.55212663624961	3511.1156214993	4990.84002470066	3.25283499314706
21.6884541630496	13.7935558111217	2.12450773655184	3859.04783506334	3281.99849348407	4.68513870494939
30.1660231249616	19.0699459805928	1.64603063098285	4162.157713582	4506.1250681265	3.34939097744015
19.8340302599563	6.80896292345539	2.36306597512743	1737.54633294879	1430.18239485825	5.15405736371693
25.5641075961244	10.6647888306745	1.87117125450783	3360.82285598107	1976.14683458008	4.6094799227758
37.4776466778242	20.4939401947622	2.758774443547	8206.42340941301	5069.45890217764	5.10706044171835
42.5097692669975	11.0527167437923	1.79808567267054	5014.31646438145	1994.23819734525	5.1500770345772
24.8157133323952	13.9043830816259	2.34699466508642	4197.01827332088	2724.20088404038	4.88510319854079
26.2341389862823	14.0452693696991	2.78827892769083	4096.98470989228	4677.96258827652	3.52957574160913
30.4628444406223	18.5805167213177	1.84997979809947	5265.91814530755	5547.84037303357	3.58632613386734
15.4986725981899	13.3535291460883	1.72868414881664	2596.25469546357	3145.61760644316	3.66152853562127
32.8868955623289	18.9732829406565	1.45423474710763	4142.13526496117	3727.44026386721	3.97639419591162
15.5882890053353	14.886513010691	1.51339800439303	2561.74560698111	5008.45117422431	3.54372729455153
20.4139255933038	10.9207931980525	1.8861923873994	2730.4095336114	2182.01424821836	4.3788171659742
35.6162137873437	17.0017023885463	1.90421054026769	4815.24719837904	4470.38420698501	3.90250642487007
24.3031249895958	14.7776926225295	2.06486923666491	2823.42780339706	3633.38242840468	2.9494004224663
30.085896781902	16.9338428218869	1.55537018781915	3646.21755327916	4159.08539173114	4.43652941961662
12.7255352499944	7.66552347990502	1.80842821753409	1652.44522621266	1596.27422320048	4.96514733144355
18.2429685350846	11.8759462416522	1.51965325297985	1942.64906343008	2490.83357371245	3.86150039938636
17.9645226464499	8.37578177843007	2.24479858252722	2870.86325419446	1905.25518697474	5.28447727414287
45.9026373926493	10.0236841829459	1.85819342580924	3338.63705274447	2108.20527559069	4.12582098109926
21.4993193983077	17.1995979671543	1.72001846263955	3620.97050946972	4762.66548245136	4.00776315396268
26.5321715846548	9.03840916150484	1.81479016583218	2672.37647821148	1802.64795725023	4.76620085323084
