node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host,startClade,endClade
141,142,0.1406526625,108.662837279974,27.4359467619289,108.575174881405,28.0968951351271,0.1406526625,0,2021.25406514581,2021.39471780831,NA,NA,main,main
141,263,0.01995323427,108.662837279974,27.4359467619289,108.957398433912,27.1391823607132,0.01995323427,0,2021.25406514581,2021.27401838008,NA,NA,main,main
263,264,0.08858773134,108.957398433912,27.1391823607132,108.264339840583,26.1153285769683,0.10854096561,0.01995323427,2021.27401838008,2021.36260611142,NA,NA,main,main
142,143,0.02201698388,108.575174881405,28.0968951351271,111.155942349131,29.7718305579777,0.16266964638,0.1406526625,2021.39471780831,2021.41673479219,NA,NA,main,main
143,164,0.01479238761,111.155942349131,29.7718305579777,112.15187770437,29.6567278102979,0.17746203399,0.16266964638,2021.41673479219,2021.4315271798,NA,NA,main,main
143,144,0.02575064969,111.155942349131,29.7718305579777,110.969813235387,30.2289068661967,0.18842029607,0.16266964638,2021.41673479219,2021.44248544188,NA,NA,main,main
144,148,0.01542619694,110.969813235387,30.2289068661967,109.80503998765,32.0366063428697,0.20384649301,0.18842029607,2021.44248544188,2021.45791163882,NA,NA,main,main
164,214,0.02936712053,112.15187770437,29.6567278102979,112.269564109734,29.7325397433051,0.20682915452,0.17746203399,2021.4315271798,2021.46089430033,NA,NA,main,main
142,216,0.06696259551,108.575174881405,28.0968951351271,101.819800004665,25.0908373988671,0.20761525801,0.1406526625,2021.39471780831,2021.46168040382,NA,NA,main,main
264,265,0.1059737379,108.264339840583,26.1153285769683,107.732259747051,25.5733773782627,0.21451470351,0.10854096561,2021.36260611142,2021.46857984932,NA,NA,main,main
148,149,0.01257117278,109.80503998765,32.0366063428697,107.443451481051,32.0167810910156,0.21641766579,0.20384649301,2021.45791163882,2021.4704828116,NA,NA,main,main
144,145,0.03496792489,110.969813235387,30.2289068661967,111.165693732102,29.8891291740645,0.22338822096,0.18842029607,2021.44248544188,2021.47745336677,NA,NA,main,main
265,266,0.01277177857,107.732259747051,25.5733773782627,102.40077068906,22.4556292302212,0.22728648208,0.21451470351,2021.46857984932,2021.48135162789,NA,NA,main,main
149,150,0.01714318615,107.443451481051,32.0167810910156,107.439862706601,32.1556288506537,0.23356085194,0.21641766579,2021.4704828116,2021.48762599775,NA,NA,main,main
216,217,0.03447172755,101.819800004665,25.0908373988671,102.436644565546,25.0912530303643,0.24208698556,0.20761525801,2021.46168040382,2021.49615213137,NA,NA,main,main
164,165,0.07043290814,112.15187770437,29.6567278102979,115.242564157942,29.0172312321528,0.24789494213,0.17746203399,2021.4315271798,2021.50196008794,NA,NA,main,main
165,171,0.002918626245,115.242564157942,29.0172312321528,115.654701561717,28.753574261737,0.250813568375,0.24789494213,2021.50196008794,2021.50487871418,NA,NA,main,main
217,218,0.009089120884,102.436644565546,25.0912530303643,102.735665110046,25.012570525678,0.251176106444,0.24208698556,2021.49615213137,2021.50524125225,NA,NA,main,main
218,219,0.001281568523,102.735665110046,25.012570525678,102.828308343196,24.977853262774,0.252457674967,0.251176106444,2021.50524125225,2021.50652282077,NA,NA,main,main
171,172,0.004364766029,115.654701561717,28.753574261737,116.138007016647,28.5578422310118,0.255178334404,0.250813568375,2021.50487871418,2021.50924348021,NA,NA,main,main
219,220,0.002825826121,102.828308343196,24.977853262774,106.581692704814,24.8005061822256,0.255283501088,0.252457674967,2021.50652282077,2021.5093486469,NA,NA,main,main
266,267,0.02841379229,102.40077068906,22.4556292302212,101.786162967292,21.1540260619388,0.25570027437,0.22728648208,2021.48135162789,2021.50976542018,NA,NA,main,main
172,173,0.00126571948,116.138007016647,28.5578422310118,116.926927624069,27.0159545008767,0.256444053884,0.255178334404,2021.50924348021,2021.51050919969,NA,NA,main,main
173,174,0.002590996605,116.926927624069,27.0159545008767,116.89102556289,26.9988308398094,0.259035050489,0.256444053884,2021.51050919969,2021.5131001963,NA,NA,main,main
267,269,0.004919258355,101.786162967292,21.1540260619388,101.680790753183,21.1090519155396,0.260619532725,0.25570027437,2021.50976542018,2021.51468467853,NA,NA,main,main
174,175,0.002579985099,116.89102556289,26.9988308398094,116.817501937312,26.7544647377035,0.261615035588,0.259035050489,2021.5131001963,2021.5156801814,NA,NA,main,main
218,231,0.01129010474,102.735665110046,25.012570525678,102.861599811412,24.918814437793,0.262466211184,0.251176106444,2021.50524125225,2021.51653135699,NA,NA,main,main
174,208,0.003818425256,116.89102556289,26.9988308398094,116.889774630727,26.9990349559436,0.262853475745,0.259035050489,2021.5131001963,2021.51691862155,NA,NA,main,main
265,272,0.04834494511,107.732259747051,25.5733773782627,111.700834356756,27.762829437987,0.26285964862,0.21451470351,2021.46857984932,2021.51692479443,NA,NA,main,main
220,221,0.008031412418,106.581692704814,24.8005061822256,106.844218765343,25.0125862360483,0.263314913506,0.255283501088,2021.5093486469,2021.51738005931,NA,NA,main,main
175,176,0.002303280338,116.817501937312,26.7544647377035,115.48513632645,25.2367478995353,0.263918315926,0.261615035588,2021.5156801814,2021.51798346173,NA,NA,main,main
165,166,0.01653182744,115.242564157942,29.0172312321528,114.834232570403,29.3728040103256,0.26442676957,0.24789494213,2021.50196008794,2021.51849191538,NA,NA,main,main
176,189,0.00076945636,115.48513632645,25.2367478995353,115.342740843853,25.1641058875631,0.264687772286,0.263918315926,2021.51798346173,2021.51875291809,NA,NA,main,main
269,270,0.004402110477,101.680790753183,21.1090519155396,101.552539066395,21.4324813311288,0.265021643202,0.260619532725,2021.51468467853,2021.51908678901,NA,NA,main,main
