node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host
28,29,6093.572494,111.540934989501,26.5359433405841,115.087074676543,27.5052290187888,6093.572494,0,-7917.60530615642,-1824.03281215642,NA,NA
28,30,7301.425895,111.540934989501,26.5359433405841,105.683381011954,23.8623689724433,7301.425895,0,-7917.60530615642,-616.179411156421,NA,NA
30,31,1315.244047,105.683381011954,23.8623689724433,104.182079631266,22.1248351751147,8616.669942,7301.425895,-616.179411156421,699.064635843579,NA,NA
31,36,637.5795718,104.182079631266,22.1248351751147,103.489723485758,20.8063919952616,9254.2495138,8616.669942,699.064635843579,1336.64420764358,NA,NA
36,37,332.5334139,103.489723485758,20.8063919952616,102.999608127596,20.1966166478034,9586.7829277,9254.2495138,1336.64420764358,1669.17762154358,NA,NA
37,38,96.86547225,102.999608127596,20.1966166478034,102.896058629704,15.3514814544148,9683.64839995,9586.7829277,1669.17762154358,1766.04309379358,NA,NA
37,40,140.7744897,102.999608127596,20.1966166478034,102.157630769033,21.1897437783232,9727.5574174,9586.7829277,1669.17762154358,1809.95211124358,NA,NA
30,48,2427.042908,105.683381011954,23.8623689724433,104.518952051515,24.6613699147489,9728.468803,7301.425895,-616.179411156421,1810.86349684358,NA,NA
40,41,83.80038353,102.157630769033,21.1897437783232,101.892871859315,20.7792523228586,9811.35780093,9727.5574174,1809.95211124358,1893.75249477358,NA,NA
41,42,49.44014448,101.892871859315,20.7792523228586,102.114816529651,19.6778755261568,9860.79794541,9811.35780093,1893.75249477358,1943.19263925358,NA,NA
42,43,3.97372749,102.114816529651,19.6778755261568,102.126779534382,18.8148700619171,9864.7716729,9860.79794541,1943.19263925358,1947.16636674358,NA,NA
48,49,139.6643276,104.518952051515,24.6613699147489,104.966793095864,24.9069034815216,9868.1331306,9728.468803,1810.86349684358,1950.52782444358,NA,NA
42,46,12.84482977,102.114816529651,19.6778755261568,101.983931463943,19.7279464666569,9873.64277518,9860.79794541,1943.19263925358,1956.03746902358,NA,NA
46,47,30.00914786,101.983931463943,19.7279464666569,102.01870935392,19.2567133190889,9903.65192304,9873.64277518,1956.03746902358,1986.04661688358,NA,NA
49,50,37.85797213,104.966793095864,24.9069034815216,111.144538274518,27.388613331688,9905.99110273,9868.1331306,1950.52782444358,1988.38579657358,NA,NA
50,51,3.711430745,111.144538274518,27.388613331688,112.006227803263,27.56909691355,9909.702533475,9905.99110273,1988.38579657358,1992.09722731858,NA,NA
43,44,47.39215977,102.126779534382,18.8148700619171,102.127831802795,18.6667820773549,9912.16383267,9864.7716729,1947.16636674358,1994.55852651358,NA,NA
51,52,14.68639163,112.006227803263,27.56909691355,122.161669768,29.9684598632886,9924.388925105,9909.702533475,1992.09722731858,2006.78361894858,NA,NA
44,45,22.1608423,102.127831802795,18.6667820773549,102.183341856577,18.6276362234449,9934.32467497,9912.16383267,1994.55852651358,2016.71936881358,NA,NA
38,39,253.6540172,102.896058629704,15.3514814544148,106.294202671252,13.6295606017247,9937.30241715,9683.64839995,1766.04309379358,2019.69711099358,NA,NA
31,32,1320.949077,104.182079631266,22.1248351751147,104.655277438892,22.4766455089762,9937.619019,8616.669942,699.064635843579,2020.01371284358,NA,NA
32,33,0.08770626397,104.655277438892,22.4766455089762,102.991991750309,20.2451885639172,9937.70672526397,9937.619019,2020.01371284358,2020.10141910755,NA,NA
51,53,28.31126208,112.006227803263,27.56909691355,111.883323235416,27.5577968991774,9938.013795555,9909.702533475,1992.09722731858,2020.40848939858,NA,NA
33,35,0.6406790777,102.991991750309,20.2451885639172,105.324081911382,22.3541529902502,9938.34740434167,9937.70672526397,2020.10141910755,2020.74209818525,NA,NA
33,34,1.135308177,102.991991750309,20.2451885639172,107.436892010134,24.0248871687654,9938.84203344097,9937.70672526397,2020.10141910755,2021.23672728455,NA,NA
29,1,3845.317743,115.087074676543,27.5052290187888,119.226730801175,28.0439981800783,9938.890237,6093.572494,-1824.03281215642,2021.28493084358,SC2_KF294457.1,Rhinolophus monoceros
29,2,3845.317743,115.087074676543,27.5052290187888,141.482065455386,39.3855373069607,9938.890237,6093.572494,-1824.03281215642,2021.28493084358,SC2_LC556375.1,Rhinolophus cornutus
38,8,255.2418373,102.896058629704,15.3514814544148,101.229398439479,13.6820261454607,9938.89023725,9683.64839995,1766.04309379358,2021.28493109358,SC2_MW251308.1,Rhinolophus acuminatus
52,24,14.50131218,122.161669768,29.9684598632886,122.285904437327,30.0170185051795,9938.890237285,9924.388925105,2006.78361894858,2021.28493112858,SC2_MG772934.1,Rhinolophus pusillus
52,25,14.50131218,122.161669768,29.9684598632886,122.2769513623,29.9498673646224,9938.890237285,9924.388925105,2006.78361894858,2021.28493112858,SC2_MG772933.1,Rhinolophus pusillus
53,26,0.8764417349,111.883323235416,27.5577968991774,111.853644855235,27.583574265668,9938.8902372899,9938.013795555,2020.40848939858,2021.28493113348,SC2_OK017804.1,Rhinolophus pusillus
53,27,0.8764417349,111.883323235416,27.5577968991774,111.812485420416,27.5351960516715,9938.8902372899,9938.013795555,2020.40848939858,2021.28493113348,SC2_OK017803.1,Rhinolophus pusillus
49,22,70.75710669,104.966793095864,24.9069034815216,102.791102038116,24.6036300348186,9938.89023729,9868.1331306,1950.52782444358,2021.28493113358,SC2_OK017806.1,Rhinolophus pusillus
50,23,32.89913456,111.144538274518,27.388613331688,111.467342329163,27.6116262666097,9938.89023729,9905.99110273,1988.38579657358,2021.28493113358,SC2_OK017805.1,Rhinolophus pusillus
