name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	coordinate_comment	general_comment	GARD	group
MZ190137.1	BtCoV/Khosta-1/Rh/Russia/2020	Rhinolophus ferrumequinum	Russia	2020	10.3390/v14010113	43.57085328729976	39.748099716458825	Sochi National Park				outgroup
MZ190138.1	BtCoV/Khosta-2/Rh/Russia/2020	Rhinolophus hipposideros	Russia	2020	10.3390/v14010113	43.57085328729976	39.748099716458825	Sochi National Park				outgroup
MW719567.1	RhGB01	Rhinolophus hipposideros	United Kingdom	2020-09-18	10.1038/s41598-021-94011-z	51.84088549634896	-2.089812823809948	Gloucestershire				outgroup
MZ081377.1	bat/Yunnan/RmYN07/2020	Rhinolophus malayanus	Yunnan	2020-06-03	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla				
MZ081382.1	bat/Yunnan/RsYN09/2020	Rhinolophus stheno	Yunnan	2020-07-28	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla				
MZ081379.1	bat/Yunnan/RsYN03/2019	Rhinolophus sinicus	Yunnan	2019-10-22	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla				
OM240725.1	RaCH025	Rhinolophus affinis	Guangdong	2020-09-17	10.1128/mbio.00463-22	23.18938968	113.2220882	Guangzhou				
MW681002.1	Rs56	Rhinolophus sinicus	Guangdong	2020-04-29	10.1128/mbio.00463-22	23.18938968	113.2220882	Guangzhou				
OP963575.1	BtSY1	Rhinolophus thomasi	Yunnan	2018	10.1038/s41467-023-39835-1	25.83772	98.85534	Lushui				
OP963576.1	BtSY2	Rhinolophus pusillus	Yunnan	2018	10.1038/s41467-023-39835-1	25.0329	101.54615	Chuxiong			SC2	SC2
LC663959.1	Rc-mk2	Rhinolophus cornutus	Chiba	2020-09	10.3201/eid2812.220801	35.60129395194319	140.1842559587301	Chiba	province-level			SC2
LC663958.1	Rc-os20	Rhinolophus cornutus	Niigata	2020-06	10.3201/eid2812.220802	37.257394050239405	138.66909676926716	Niigata	province-level			SC2
LC663793.1	Rc-kw8	Rhinolophus cornutus	Shizuoka	2020-09	10.3201/eid2812.220803	34.9481201749123	138.04783941016322	Shizuoka	province-level			SC2
OK287354.1	BetaCoV_Yunnan_Rs_KMC6_2020	Rhinolophus sinicus	Yunnan	2020-10		24.2662109374504	101.49052981981724	Yunnan	province-level			
OK287355.1	BetaCoV_Yunnan_Rp_JCC9_2020	Rhinolophus blythi	Yunnan	2020-03		24.2662109374504	101.49052981981724	Yunnan	province-level		SC2	SC2
OQ401247.1	RfGB01	Rhinolophus ferrumequinum	Chudleigh	2021-09-27	10.1038/s41467-023-38717-w	50.60708245701495	-3.601609337870189					outgroup
OQ401248.1	RhGB07	Rhinolophus hipposideros	United Kingdom	2020-10-05	10.1038/s41467-023-38717-w	50.135254	-5.1101783					outgroup
OQ401249.1	RfGB02	Rhinolophus ferrumequinum	Buckfastleigh	2021-08-27	10.1038/s41467-023-38717-w	50.48187163580492	-3.781388522291197					outgroup
OP776338.1	RhGB02	Rhinolophus hipposideros	United Kingdom	2021-06-24	10.1101/2023.02.14.528476							outgroup
OP776339.1	RhGB05	Rhinolophus hipposideros	United Kingdom	2021-09-10	10.1101/2023.02.14.528476							outgroup
OP776340.1	RhGB06	Rhinolophus hipposideros	United Kingdom	2021-08-30	10.1101/2023.02.14.528476							outgroup
ON378802.1	BatCoV_B20-50	Rhinolophus ferrumequinum	South Korea	2020-03-20	10.3390/v14071389							
OQ503505.1	RsYN2016C	Rhinolophus sinicus	Yunnan	2016-08-13	10.1128/jvi.00395-23	24.46465	102.32157	Xiyang town, Jinning county, Kunming city				
OQ503504.1	RsYN2016A	Rhinolophus sinicus	Yunnan	2016-08-13	10.1128/jvi.00395-23	24.46465	102.32157	Xiyang town, Jinning county, Kunming city				
OQ503502.1	RsYN2014	Rhinolophus sinicus	Yunnan	2014-05-07	10.1128/jvi.00395-23	24.95086	102.17924	Lufeng county, Chuxiong city				
OQ503501.1	RsYN2013	Rhinolophus sinicus	Yunnan	2013-04-17	10.1128/jvi.00395-23	24.49791	102.21805	Xiyang town, Jinning county, Kunming city				
OQ503500.1	RsYN2012	Rhinolophus sinicus	Yunnan	2012-09-18	10.1128/jvi.00395-23	24.49791	102.21805	Xiyang town, Jinning county, Kunming city				
OQ503499.1	RsHuB2019B	Rhinolophus sinicus	Hubei	2019-04-19	10.1128/jvi.00395-23	29.78537	114.31567	Xianning city				
OQ503498.1	RsHuB2019A	Rhinolophus sinicus	Hubei	2019-04-19	10.1128/jvi.00395-23	29.78537	114.31567	Xianning city				
OQ503497.1	RsGZ2015	Rhinolophus sinicus	Guizhou	2015-08-29	10.1128/jvi.00395-23	27.58408	108.51612	Shiqian county, Tongren city				
OQ503496.1	RsGD2014B	Rhinolophus sinicus	Guangdong	2014-09-02	10.1128/jvi.00395-23	23.740333	113.83755	Conghua county, Guangzhou city				
OQ503495.1	RsGD2014A	Rhinolophus sinicus	Guangdong	2014-09-02	10.1128/jvi.00395-23	23.740333	113.83755	Conghua county, Guangzhou city				
OQ503506.1	RsYN2018	Rhinolophus thomasi	Yunnan	2018-07-03	10.1128/jvi.00395-23	22.43185	100.66897	Jingne county, Jinghong city				
OR233291.1	Ra21CB8	Rhinolophus affinis	Vietnam	2021-12-10	10.1111/mec.17486	22.56	105.87					
OR233292.1	Ra22DB107	Rhinolophus affinis	Vietnam	2022-06-24	10.1111/mec.17486	22.39	102.24					
OR233325.1	Ra22DB163	Rhinolophus affinis	Vietnam	2022-06-26	10.1111/mec.17486	22.39	102.24					
OR233326.1	Ra22DB173	Rhinolophus affinis	Vietnam	2022-06-27	10.1111/mec.17486	22.39	102.24					
OR233304.1	Ra22DB191	Rhinolophus affinis	Vietnam	2022-06-28	10.1111/mec.17486	22.39	102.24					
OR233315.1	Ra22QT27	Rhinolophus affinis	Vietnam	2022-11-01	10.1111/mec.17486	16.72	106.7					
OR233295.1	Rt17DN420	Rhinolophus thomasi	Vietnam	2017-06-04	10.1111/mec.17486	11.88	107.98					
OR233308.1	Rt21LC39	Rhinolophus thomasi	Vietnam	2021-11-12	10.1111/mec.17486	22.4	103.84					
OR233314.1	Rt22SL92	Rhinolophus thomasi	Vietnam	2022-07-03	10.1111/mec.17486	20.87	104.71					
OR233305.1	Rt321LC192	Rhinolophus thomasi	Vietnam	2021-11-14	10.1111/mec.17486	22.4	103.84					
OR233293.1	Rt22CB395	Rhinolophus thomasi	Vietnam	2022-02-28	10.1111/mec.17486	22.56	105.87					
OR233294.1	Rt22DB31	Rhinolophus thomasi	Vietnam	2022-06-18	10.1111/mec.17486	21.64	103.41					
OR233310.1	Rt22DB38	Rhinolophus thomasi	Vietnam	2022-06-18	10.1111/mec.17486	21.64	103.41					
OR233306.1	Rt22LC371	Rhinolophus thomasi	Vietnam	2022-03-06	10.1111/mec.17486	22.4	103.84					
OR233307.1	Rt22LC376	Rhinolophus thomasi	Vietnam	2022-03-06	10.1111/mec.17486	22.4	103.84					
OR233296.1	Rt22LC378	Rhinolophus thomasi	Vietnam	2022-03-06	10.1111/mec.17486	22.4	103.84					
OR233299.1	Rt22QB8	Rhinolophus thomasi	Vietnam	2022-11-07	10.1111/mec.17486	17.73	105.78					
OR233298.1	Rt22QB78	Rhinolophus thomasi	Vietnam	2022-11-10	10.1111/mec.17486	17.73	105.78					
OR233318.1	Rt22QT36	Rhinolophus thomasi	Vietnam	2022-11-01	10.1111/mec.17486	16.72	106.7					
OR233319.1	Rt22QT46	Rhinolophus thomasi	Vietnam	2022-11-02	10.1111/mec.17486	16.72	106.7					
OR233320.1	Rt22QT48	Rhinolophus thomasi	Vietnam	2022-11-02	10.1111/mec.17486	16.72	106.7					
OR233321.1	Rt22QT53	Rhinolophus thomasi	Vietnam	2022-11-02	10.1111/mec.17486	16.72	106.7					
OR233300.1	Rt22QT124	Rhinolophus thomasi	Vietnam	2022-11-04	10.1111/mec.17486	16.72	106.7					
OR233316.1	Rt22QT161	Rhinolophus thomasi	Vietnam	2022-11-05	10.1111/mec.17486	16.72	106.7					
OR233317.1	Rt22QT178	Rhinolophus thomasi	Vietnam	2022-11-05	10.1111/mec.17486	16.72	106.7					
OR233303.1	Rt22SL9	Rhinolophus thomasi	Vietnam	2022-07-01	10.1111/mec.17486	21.2	104.0					
OR233312.1	Rt22SL58	Rhinolophus thomasi	Vietnam	2022-07-03	10.1111/mec.17486	20.87	104.71					
OR233309.1	Rt22SL67	Rhinolophus thomasi	Vietnam	2022-07-03	10.1111/mec.17486	20.87	104.71					
OR233313.1	Rt22SL85	Rhinolophus thomasi	Vietnam	2022-07-03	10.1111/mec.17486	20.87	104.71					
OR233297.1	Rt21LC92	Rhinolophus thomasi	Vietnam	2021-11-12	10.1111/mec.17486	22.4	103.84					
OR233301.1	Rt22SL115	Rhinolophus thomasi	Vietnam	2022-07-03	10.1111/mec.17486	20.87	104.71					
OR233311.1	Rt22SL130	Rhinolophus thomasi	Vietnam	2022-07-04	10.1111/mec.17486	20.87	104.71					
OR233324.1	Ra22QT77	Rhinolophus affinis	Vietnam	2022-11-03	10.1111/mec.17486	16.72	106.7				SC2	SC2
OR233322.1	Ra22QT106	Rhinolophus affinis	Vietnam	2022-11-03	10.1111/mec.17486	16.72	106.7					SC2
OR233323.1	Ra22QT135	Rhinolophus affinis	Vietnam	2022-11-04	10.1111/mec.17486	16.72	106.7					SC2
OR233328.1	Ra22QT137	Rhinolophus affinis	Vietnam	2022-11-04	10.1111/mec.17486	16.72	106.7					SC2
OR233302.1	Rp22DB159	Rhinolophus pusillus	Vietnam	2022-06-26	10.1111/mec.17486	22.39	102.24				SC2	SC2
OQ175342.1	BtRs-BetaCoV/YN2020-Q322	Rhinolophus affinis	Yunnan	2020-09-30	10.1038/s41467-023-41264-z	22.82635072905932	100.96675627294042	Puer				
OQ175345.1	BtRs-BetaCoV/YN2020-Q325	Rhinolophus sinicus	Yunnan	2020-06-22	10.1038/s41467-023-41264-z	23.386071911547702	103.38375938299626	Honghe Hanizu Yizu Aut. Prefecture				
OQ175346.1	BtRs-BetaCoV/YN2020-Q326	Rhinolophus sinicus	Yunnan	2020-06-23	10.1038/s41467-023-41264-z	23.386071911547702	103.38375938299626	Honghe Hanizu Yizu Aut. Prefecture				
OQ175347.1	BtRs-BetaCoV/YN2020-Q327	Rhinolophus sinicus	Yunnan	2020-06-24	10.1038/s41467-023-41264-z	23.386071911547702	103.38375938299626	Honghe Hanizu Yizu Aut. Prefecture				
OQ175348.1	BtRs-BetaCoV/YN2020-Q328	Rhinolophus sinicus	Yunnan	2020-06-25	10.1038/s41467-023-41264-z	23.386071911547702	103.38375938299626	Honghe Hanizu Yizu Aut. Prefecture				
OQ175344.1	BtRs-BetaCoV/YN2020-Q324	Rhinolophus sinicus	Yunnan	2020-06-22	10.1038/s41467-023-41264-z	23.386071911547702	103.38375938299626	Honghe Hanizu Yizu Aut. Prefecture				
OQ175350.1	BtRs-BetaCoV/YN2020-Q330	Rhinolophus sinicus	Yunnan	2020-06-23	10.1038/s41467-023-41264-z	23.386071911547702	103.38375938299626	Honghe Hanizu Yizu Aut. Prefecture				
OQ175349.1	BtRs-BetaCoV/HB2020-Q329	Rhinolophus sinicus	Hubei	2020-08-13	10.1038/s41467-023-41264-z	31.03720656856486	112.19995360300588	Jingmen				
OQ175343.1	BtRp-BetaCoV/GD2018-Q323	Rhinolophus pusillus	Guangdong	2018-05-09	10.1038/s41467-023-41264-z	23.119934636082764	114.40577475998484	Huizhou			SC2	SC2
OR261262.1	RtVN21-29	Rhinolophus thomasi	Vietnam	2021-03	10.3390/v15091897	20.88282	103.69528					
OR261263.1	RtVN21-192	Rhinolophus thomasi	Vietnam	2021-07	10.3390/v15091897	20.736283	104.50463					
OR261264.1	RtVN21-193	Rhinolophus thomasi	Vietnam	2021-07	10.3390/v15091897	20.734502	104.505343					
OR261265.1	RsVN21-195	Rhinolophus siamensis	Vietnam	2021-07	10.3390/v15091897	20.734502	104.505343					
OR261266.1	RtVN21-197	Rhinolophus thomasi	Vietnam	2021-07	10.3390/v15091897	20.734502	104.505343					
OR261267.1	RtVN21-200	Rhinolophus thomasi	Vietnam	2021-07	10.3390/v15091897	20.734502	104.505343					
OR261268.1	RtVN21-201	Rhinolophus thomasi	Vietnam	2021-07	10.3390/v15091897	20.734502	104.505343					
