name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	coordinate_comment	general_comment	GARD	group
KY417151.1	Rs7327	Rhinolophus sinicus	Yunnan	2014-10-24	10.1371/journal.ppat.1006698	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
KY417142.1	As6526	Aselliscus stoliczkanus	Yunnan	2014-05-12	10.1371/journal.ppat.1006698	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
KY417144.1	Rs4084	Rhinolophus sinicus	Yunnan	2012-09-18	10.1371/journal.ppat.1006698	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
KY417152.1	Rs9401	Rhinolophus sinicus	Yunnan	2015-10-16	10.1371/journal.ppat.1006698	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
KY417145.1	Rf4092	Rhinolophus ferrumequinum	Yunnan	2012-09-18	10.1371/journal.ppat.1006698	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
MK211377.1	BtRs-BetaCoV/YN2018C	Rhinolophus sinicus	Yunnan	2016-09	10.3389/fmicb.2019.01900	24.2662109374504	101.49052981981724	Yunnan	province-level	species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full	SC1	SC1
GQ153544.1	HKU3-9	Rhinolophus sinicus	Guangdong	2006-08-28	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153545.1	HKU3-10	Rhinolophus sinicus	Guangdong	2006-08-28	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153548.1	HKU3-13	Rhinolophus sinicus	Guangdong	2007-11-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153546.1	HKU3-11	Rhinolophus sinicus	Guangdong	2007-03-07	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153540.1	HKU3-5	Rhinolophus sinicus	Guangdong	2005-09-20	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153542.1	HKU3-7	Rhinolophus sinicus	Guangdong	2006-02-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
DQ084199.1	HKU3-2	Rhinolophus sinicus	Guangdong	2005-02-24	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153547.1	HKU3-12	Rhinolophus sinicus	Guangdong	2007-05-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153539.1	HKU3-4	Rhinolophus sinicus	Guangdong	2005-09-20	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153541.1	HKU3-6	Rhinolophus sinicus	Guangdong	2005-12-16	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
DQ022305.2	HKU3-1	Rhinolophus sinicus	Guangdong	2005-02-17	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong			SC1	SC1
DQ084200.1	HKU3-3	Rhinolophus sinicus	Guangdong	2005-03-17	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
GQ153543.1	HKU3-8	Rhinolophus sinicus	Guangdong	2006-02-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong				SC1
KP886808.1	YNLF_31C	Rhinolophus ferrumequinum	Yunnan	2013-05-23		25.14915365	102.0748286	Lufeng			SC1	SC1
KJ473814.1	BtRs-HuB2013	Rhinolophus sinicus	Hubei	2013	10.1038/ismej.2015.138	31.21313842	112.0009523	Hubei	province-level		SC1	SC1
KJ473815.1	BtRs-GX2013	Rhinolophus sinicus	Guangxi	2013	10.1093/infdis/jiv476	24.40606099984232	111.56341552729944	Hezhou			SC1	SC1
MK211374.1	BtRl-BetaCoV/SC2018	Rhinolophus sp.	Sichuan	2016-08	10.3389/fmicb.2019.01900	31.34931671010588	102.62903716097208	Sichuan	province-level		SC1	SC1
KJ473812.1	BtRf-HeB2013	Rhinolophus ferrumequinum	Hebei	2013	10.1093/infdis/jiv476	39.04257009016735	115.30952951168858	Hebei	province-level		SC1	SC1
KJ473813.1	BtRf-SX2013	Rhinolophus ferrumequinum	Shanxi	2013	10.1093/infdis/jiv476	37.02145899010558	112.32092475914772	Shanxi	province-level			SC1
DQ412042.1	Rf1	Rhinolophus ferrumequinum	Hubei	2004-11	10.1126/science.1118391	30.693192888459222	111.29423882047676	Yichang			SC1	SC1
KY770860.1	Jiyuan-84	Rhinolophus ferrumequinum	Henan	2012	10.1016/j.virol.2017.03.019	35.08167677437168	112.61288458828017	Jiyuan			SC1	SC1
KP886809.1	YNLF_34C	Rhinolophus ferrumequinum	Yunnan	2013-05-23		25.14915365	102.0748286	Lufeng				SC1
KU182964.1	JTMC15	Rhinolophus ferrumequinum	Jilin	2013-08	10.1007/s12250-016-3727-3	41.729835979495256	125.9382598104726	Tonghua, Jilin			SC1	SC1
DQ412043.1	Rm1	Rhinolophus macrotis	Hubei	2004-11	10.1126/science.1118391	30.693192888459222	111.29423882047676	Yichang				SC1
