node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
28,1,118617.6105,115.174319513445,27.0242139623619,141.375250581071,39.4936432070942,118617.6105,0,-116596.325607493,2021.28489250684,SC2_LC556375.1
28,29,96555.60963,115.174319513445,27.0242139623619,116.932475006107,28.2479513901612,96555.60963,0,-116596.325607493,-20040.7159774931,NA
29,30,19438.60342,116.932475006107,28.2479513901612,116.647375344668,29.7730862599177,115994.21305,96555.60963,-20040.7159774931,-602.112557493146,NA
30,31,1000.256301,116.647375344668,29.7730862599177,106.504813098181,13.6727543565301,116994.469351,115994.21305,-602.112557493146,398.143743506855,NA
30,33,1961.108749,116.647375344668,29.7730862599177,117.108712604068,27.7335335946132,117955.321799,115994.21305,-602.112557493146,1358.99619150686,NA
33,45,265.4190198,117.108712604068,27.7335335946132,117.443506263341,27.8730008800511,118220.7408188,117955.321799,1358.99619150686,1624.41521130686,NA
33,34,389.6370213,117.108712604068,27.7335335946132,104.652410532618,23.7490271704437,118344.9588203,117955.321799,1358.99619150686,1748.63321280685,NA
45,46,233.0154445,117.443506263341,27.8730008800511,117.625232386058,27.9291558697115,118453.7562633,118220.7408188,1624.41521130686,1857.43065580685,NA
34,35,161.8828554,104.652410532618,23.7490271704437,101.924709041901,19.9637916439459,118506.8416757,118344.9588203,1748.63321280685,1910.51606820686,NA
35,36,25.14537156,101.924709041901,19.9637916439459,101.575520343524,21.4822153646443,118531.98704726,118506.8416757,1910.51606820686,1935.66143976685,NA
36,37,9.941146397,101.575520343524,21.4822153646443,101.501958240647,21.5021002342062,118541.928193657,118531.98704726,1935.66143976685,1945.60258616385,NA
37,40,10.76377292,101.501958240647,21.5021002342062,101.178974262854,21.5673636468077,118552.691966577,118541.928193657,1945.60258616385,1956.36635908386,NA
46,47,102.0499927,117.625232386058,27.9291558697115,122.398412051159,30.120029449658,118555.806256,118453.7562633,1857.43065580685,1959.48064850686,NA
40,41,10.90147822,101.178974262854,21.5673636468077,102.207710781876,18.8952791885663,118563.593444797,118552.691966577,1956.36635908386,1967.26783730385,NA
47,49,19.18815096,122.398412051159,30.120029449658,122.436527222322,30.13491431246,118574.99440696,118555.806256,1959.48064850686,1978.66879946685,NA
37,38,53.9797309,101.501958240647,21.5021002342062,101.300088269891,21.6502519347605,118595.907924557,118541.928193657,1945.60258616385,1999.58231706385,NA
35,44,91.86450045,101.924709041901,19.9637916439459,101.96638509748,18.9182172338393,118598.70617615,118506.8416757,1910.51606820686,2002.38056865686,NA
38,39,17.14095986,101.300088269891,21.6502519347605,100.050380857075,22.4244452177356,118613.048884417,118595.907924557,1999.58231706385,2016.72327692385,NA
41,43,50.47501203,102.207710781876,18.8952791885663,102.300728880104,18.7809915360867,118614.068456827,118563.593444797,1967.26783730385,2017.74284933386,NA
41,42,50.65044142,102.207710781876,18.8952791885663,102.104329724056,18.6366743705111,118614.243886217,118563.593444797,1967.26783730385,2017.91827872386,NA
29,50,22059.63695,116.932475006107,28.2479513901612,117.434343795112,27.900247048753,118615.24658,96555.60963,-20040.7159774931,2018.92097250685,NA
50,51,0.1051236149,117.434343795112,27.900247048753,117.438183234383,27.8711828006056,118615.351703615,118615.24658,2018.92097250685,2019.02609612176,NA
51,52,0.2828334352,117.438183234383,27.8711828006056,117.725881565409,27.7141198276468,118615.63453705,118615.351703615,2019.02609612176,2019.30892955696,NA
47,48,59.93606838,122.398412051159,30.120029449658,112.16796243271,28.3114050456229,118615.74232438,118555.806256,1959.48064850686,2019.41671688685,NA
31,32,1622.157887,106.504813098181,13.6727543565301,106.23145288525,13.5945462796162,118616.627238,116994.469351,398.143743506855,2020.30163050685,NA
52,53,1.863556638,117.725881565409,27.7141198276468,117.924953073841,28.7974817164288,118617.498093688,118615.63453705,2019.30892955696,2021.17248619495,NA
51,26,2.258834546,117.438183234383,27.8711828006056,117.609472629976,27.732104196608,118617.610538161,118615.351703615,2019.02609612176,2021.28493066776,SC2_MT040334.1
50,27,2.363958161,117.434343795112,27.900247048753,117.378727646213,27.8158096130534,118617.610538161,118615.24658,2018.92097250685,2021.28493066786,SC2_MT040336.1
53,25,0.1124444729,117.924953073841,28.7974817164288,117.875538130697,28.7623838548245,118617.610538161,118617.498093688,2021.17248619495,2021.28493066786,SC2_MT072864.1
53,24,0.1124444729,117.924953073841,28.7974817164288,117.937960268432,28.8209498268374,118617.610538161,118617.498093688,2021.17248619495,2021.28493066786,SC2_MT040335.1
52,23,1.976001111,117.725881565409,27.7141198276468,117.529831582135,27.4559106244833,118617.610538161,118615.63453705,2019.30892955696,2021.28493066796,SC2_MT040333.1
44,15,18.90436244,101.96638509748,18.9182172338393,102.578766712069,19.4046591874375,118617.61053859,118598.70617615,2002.38056865686,2021.28493109685,SC2_MN908947.3
44,14,18.90436244,101.96638509748,18.9182172338393,102.112067043998,18.8536016712141,118617.61053859,118598.70617615,2002.38056865686,2021.28493109685,SC2_MZ937001.1
40,6,64.91857202,101.178974262854,21.5673636468077,101.382458506093,21.4748864359163,118617.610538597,118552.691966577,1956.36635908386,2021.28493110385,SC2_MZ081381.1
38,13,21.70261404,101.300088269891,21.6502519347605,101.588361983272,21.6655016354822,118617.610538597,118595.907924557,1999.58231706385,2021.28493110385,SC2_EPI_ISL_412977
39,11,4.561654182,100.050380857075,22.4244452177356,100.01837058789,22.4305870866526,118617.610538599,118613.048884417,2016.72327692385,2021.28493110586,SC2_OK017806.1
