node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
50,56,11.4989311682359,102.099293728091,20.4452814461241,101.91979206102,21.3917009651865,882.401696747007,870.902765578771,1957.63211389106,1969.13104505929,NA,main,main
56,57,12.1125302826449,101.91979206102,21.3917009651865,102.022787534407,21.4166889088516,894.514227029652,882.401696747007,1969.13104505929,1981.24357534194,NA,main,main
50,51,27.7625923207955,102.099293728091,20.4452814461241,101.638363840885,22.2149662087666,898.665357899567,870.902765578771,1957.63211389106,1985.39470621185,NA,main,main
57,63,19.1846044962691,102.022787534407,21.4166889088516,101.426208131009,21.420085686905,913.698831525921,894.514227029652,1981.24357534194,2000.42817983821,NA,main,main
57,58,22.244152746863,102.022787534407,21.4166889088516,106.100517820488,14.0828119214095,916.758379776515,894.514227029652,1981.24357534194,2003.4877280888,NA,main,main
47,48,7.4963668918447,102.652951591748,23.645673968477,102.767615950134,22.8637522545318,917.254002763658,909.757635871813,1996.4869841841,2003.98335107594,NA,main,main
73,74,3.12867497273468,142.233720504066,38.8524585854862,141.686329505061,38.3021688026897,919.900466146252,916.771791173518,2003.5011394858,2006.62981445854,NA,main,main
51,52,21.2665129514677,101.638363840885,22.2149662087666,102.163946882493,18.8059500822186,919.931870851035,898.665357899567,1985.39470621185,2006.66121916332,NA,main,main
63,64,7.31765843449889,101.426208131009,21.420085686905,101.46394157101,21.3820533937589,921.01648996042,913.698831525921,2000.42817983821,2007.74583827271,NA,main,main
74,75,1.14976814498805,141.686329505061,38.3021688026897,141.714453172982,38.3101926269857,921.050234291241,919.900466146252,2006.62981445854,2007.77958260353,NA,main,main
58,62,6.80123761978553,106.100517820488,14.0828119214095,106.121862721078,13.9330096223074,923.559617396301,916.758379776515,2003.4877280888,2010.28896570859,NA,main,main
48,49,6.52300581853233,102.767615950134,22.8637522545318,100.94992590864,25.1119671037268,923.77700858219,917.254002763658,2003.98335107594,2010.50635689448,NA,main,main
62,6,0.639801414700251,106.121862721078,13.9330096223074,106.379576558654,13.6320476805348,924.199418811001,923.559617396301,2010.28896570859,2010.92876712329,SC2_EPI_ISL_852604,main,main
62,5,0.639801414700251,106.121862721078,13.9330096223074,106.070086861212,13.8539764497689,924.199418811001,923.559617396301,2010.28896570859,2010.92876712329,SC2_EPI_ISL_852605,main,main
75,37,5.22041739647249,141.714453172982,38.3101926269857,141.602593711282,39.6620788700838,926.270651687713,921.050234291241,2007.77958260353,2013,SC2_LC556375.1,main,main
56,20,44.427859050295,101.91979206102,21.3917009651865,101.199330352217,23.4726316474739,926.829555797302,882.401696747007,1969.13104505929,2013.55890410959,SC2_MN996532.2,main,main
68,29,26.7820806390644,122.104193020968,29.3584233213827,122.22536853345,29.9633123119525,928.766542098672,901.984461459607,1988.71380977189,2015.49589041096,SC2_MG772934.1,main,main
68,28,28.3711217349547,122.104193020968,29.3584233213827,121.952858982893,30.0452559276951,930.355583194562,901.984461459607,1988.71380977189,2017.08493150685,SC2_MG772933.1,main,main
49,21,7.49364310552279,100.94992590864,25.1119671037268,101.302100377393,24.858307510176,931.270651687713,923.77700858219,2010.50635689448,2018,SC2_OP963576.1,main,main
47,24,22.093837733708,102.652951591748,23.645673968477,102.679907501571,23.6718453497775,931.851473605521,909.757635871813,1996.4869841841,2018.58082191781,SC2_MW703458.1,main,main
58,59,15.939427053552,106.100517820488,14.0828119214095,106.475460489554,16.5049981232216,932.697806830067,916.758379776515,2003.4877280888,2019.42715514235,NA,main,main
64,12,11.7336137820875,101.46394157101,21.3820533937589,101.420203507873,21.4087530998053,932.750103742508,921.01648996042,2007.74583827271,2019.47945205479,SC2_EPI_ISL_412977,main,main
66,67,48.6479416070248,109.487642587307,26.8114328697989,109.560398998776,26.3187850308519,932.786422214762,884.138480607737,1970.86782892002,2019.51577052705,NA,main,main
52,53,12.8615609125362,102.163946882493,18.8059500822186,102.223350849667,18.7996140427309,932.793431763571,919.931870851035,2006.66121916332,2019.52278007586,NA,main,main
53,54,0.455921505265157,102.223350849667,18.7996140427309,102.190813979412,18.6339758363915,933.249353268836,932.793431763571,2019.52278007586,2019.97870158112,NA,main,main
53,55,0.515024537108933,102.223350849667,18.7996140427309,102.236837536329,18.808949331976,933.30845630068,932.793431763571,2019.52278007586,2020.03780461297,NA,main,main
51,14,34.7692282143759,101.638363840885,22.2149662087666,99.7181569353305,22.7183258341852,933.434586113943,898.665357899567,1985.39470621185,2020.16393442623,SC2_OK287355.1,main,main
64,13,12.650336590681,101.46394157101,21.3820533937589,101.361054477035,21.6530344275266,933.666826551101,921.01648996042,2007.74583827271,2020.39617486339,SC2_MZ081381.1,main,main
74,38,13.7854860879087,141.686329505061,38.3021688026897,138.881011643067,37.2690910087399,933.685952234161,919.900466146252,2006.62981445854,2020.41530054645,SC2_LC663958.1,main,main
54,17,0.529495140188622,102.190813979412,18.6339758363915,102.259602368822,18.5407020554976,933.778848409024,933.249353268836,2019.97870158112,2020.50819672131,SC2_MZ937000.1,main,main
52,19,13.8524420388644,102.163946882493,18.8059500822186,102.131434280983,18.7850999266558,933.784312889899,919.931870851035,2006.66121916332,2020.51366120219,SC2_MZ937001.1,main,main
55,15,0.475856589219326,102.236837536329,18.808949331976,102.204991257084,18.9084124381795,933.784312889899,933.30845630068,2020.03780461297,2020.51366120219,SC2_MZ937002.1,main,main
54,16,0.54315634237448,102.190813979412,18.6339758363915,102.070367887445,18.4814862414169,933.79250961121,933.249353268836,2019.97870158112,2020.5218579235,SC2_MZ937004.1,main,main
