node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host
39,40,11990.03499,113.623097632337,25.0062993091488,113.312682911769,24.5654390677013,11990.03499,0,-43413.7181218996,-31423.6831318996,NA,NA
40,42,25003.06701,113.312682911769,24.5654390677013,108.620309387516,20.8922536830214,36993.102,11990.03499,-31423.6831318996,-6420.61612189959,NA,NA
40,41,31285.53449,113.312682911769,24.5654390677013,115.694451053874,25.2800832658727,43275.56948,11990.03499,-31423.6831318996,-138.148641899594,NA,NA
42,47,6704.841695,108.620309387516,20.8922536830214,106.280364261434,18.8201504115929,43697.943695,36993.102,-6420.61612189959,284.225573100402,NA,NA
47,48,1089.40376,106.280364261434,18.8201504115929,104.066484699312,17.3092859978011,44787.347455,43697.943695,284.225573100402,1373.6293331004,NA,NA
48,49,289.5781762,104.066484699312,17.3092859978011,104.103395961721,17.7296881681233,45076.9256312,44787.347455,1373.6293331004,1663.20750930041,NA,NA
49,55,236.3173485,104.103395961721,17.7296881681233,102.912994802086,22.6466359636879,45313.2429797,45076.9256312,1663.20750930041,1899.52485780041,NA,NA
55,60,16.46259631,102.912994802086,22.6466359636879,101.81152303805,23.158308709638,45329.70557601,45313.2429797,1899.52485780041,1915.9874541104,NA,NA
60,64,19.19741219,101.81152303805,23.158308709638,101.553598608421,22.8311442188425,45348.9029882,45329.70557601,1915.9874541104,1935.18486630041,NA,NA
60,61,22.00563217,101.81152303805,23.158308709638,101.922603542689,23.3893912020756,45351.71120818,45329.70557601,1915.9874541104,1937.99308628041,NA,NA
64,65,40.04112691,101.553598608421,22.8311442188425,101.508281629202,22.382799215987,45388.94411511,45348.9029882,1935.18486630041,1975.2259932104,NA,NA
55,56,91.44222505,102.912994802086,22.6466359636879,111.728472091499,27.2890136698086,45404.68520475,45313.2429797,1899.52485780041,1990.96708285041,NA,NA
65,66,18.65594828,101.508281629202,22.382799215987,101.517816809306,21.9467103265475,45407.60006339,45388.94411511,1975.2259932104,1993.8819414904,NA,NA
66,67,6.859241772,101.517816809306,21.9467103265475,101.513925124813,21.4849768910719,45414.459305162,45407.60006339,1993.8819414904,2000.74118326241,NA,NA
39,73,45416.12322,113.623097632337,25.0062993091488,139.192660802151,36.1218837300027,45416.12322,0,-43413.7181218996,2002.40509810041,NA,NA
67,68,3.26825981,101.513925124813,21.4849768910719,101.564043027396,21.4250334353666,45417.727564972,45414.459305162,2000.74118326241,2004.0094430724,NA,NA
56,57,14.34794084,111.728472091499,27.2890136698086,111.830116805295,27.3719278518297,45419.03314559,45404.68520475,1990.96708285041,2005.31502369041,NA,NA
56,59,18.29280165,111.728472091499,27.2890136698086,122.216176079914,29.8272171054021,45422.9780064,45404.68520475,1990.96708285041,2009.25988450041,NA,NA
67,69,9.822193727,101.513925124813,21.4849768910719,102.099090127201,18.5837235126592,45424.281498889,45414.459305162,2000.74118326241,2010.56337698941,NA,NA
61,62,72.66426521,101.922603542689,23.3893912020756,102.030821215957,23.763003309181,45424.37547339,45351.71120818,1937.99308628041,2010.65735149041,NA,NA
69,70,0.8573332793,102.099090127201,18.5837235126592,102.151492571806,18.6240843301234,45425.1388321683,45424.281498889,2010.56337698941,2011.4207102687,NA,NA
73,74,11.9171124,139.192660802151,36.1218837300027,139.434928858389,36.4626366701318,45428.0403324,45416.12322,2002.40509810041,2014.32221050041,NA,NA
49,50,351.280801,104.103395961721,17.7296881681233,106.389700851676,15.4402270997886,45428.2064322,45076.9256312,1663.20750930041,2014.48831030041,NA,NA
62,63,4.085358791,102.030821215957,23.763003309181,102.082385008677,23.2486353139155,45428.460832181,45424.37547339,2010.65735149041,2014.74271028141,NA,NA
74,75,1.428690048,139.434928858389,36.4626366701318,140.254828552901,37.4740599516015,45429.469022448,45428.0403324,2014.32221050041,2015.75090054841,NA,NA
50,54,4.004623165,106.389700851676,15.4402270997886,106.336483109525,13.9685325185594,45432.211055365,45428.2064322,2014.48831030041,2018.49293346541,NA,NA
42,43,8441.644016,108.620309387516,20.8922536830214,108.318083952874,19.4508755308112,45434.746016,36993.102,-6420.61612189959,2021.0278941004,NA,NA
43,44,0.1201182442,108.318083952874,19.4508755308112,107.133390183465,18.5034645630617,45434.8661342442,45434.746016,2021.0278941004,2021.14801234461,NA,NA
44,46,0.3762525617,107.133390183465,18.5034645630617,107.937154600123,21.235019161408,45435.2423868059,45434.8661342442,2021.14801234461,2021.52426490631,NA,NA
44,45,0.8812671782,107.133390183465,18.5034645630617,107.259130913625,17.7530960380798,45435.7474014224,45434.8661342442,2021.14801234461,2022.02927952281,NA,NA
50,51,7.572645578,106.389700851676,15.4402270997886,106.713586584748,16.7342531276211,45435.779077778,45428.2064322,2014.48831030041,2022.06095587841,NA,NA
57,58,16.78860755,111.830116805295,27.3719278518297,111.837067619389,27.5216685747025,45435.82175314,45419.03314559,2005.31502369041,2022.10363124041,NA,NA
51,52,0.3980510056,106.713586584748,16.7342531276211,106.563038182405,16.8021850629074,45436.1771287836,45435.779077778,2022.06095587841,2022.45900688401,NA,NA
51,53,0.4410713728,106.713586584748,16.7342531276211,106.803316271754,16.6753689474344,45436.2201491508,45435.779077778,2022.06095587841,2022.50202725121,NA,NA
70,71,11.08710759,102.151492571806,18.6240843301234,102.301541974653,18.6446219204753,45436.2259397583,45425.1388321683,2011.4207102687,2022.5078178587,NA,NA
71,72,0.04061538949,102.301541974653,18.6446219204753,102.307533855305,18.6378375819726,45436.2665551478,45436.2259397583,2022.5078178587,2022.5484332482,NA,NA
