node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host,startClade,endClade
39,40,8219.362901,112.182517534817,25.3549485171899,109.275837613446,23.0302543219894,8219.362901,0,-11929.6027357636,-3710.23983476359,NA,NA,main,main
39,62,6210.018566,112.182517534817,25.3549485171899,114.824050643821,26.182557900369,6210.018566,0,-11929.6027357636,-5719.58416976359,NA,NA,main,main
40,45,4978.642914,109.275837613446,23.0302543219894,104.909877149809,20.5847923939866,13198.005815,8219.362901,-3710.23983476359,1268.40307923641,NA,NA,main,main
62,66,7110.090528,114.824050643821,26.182557900369,115.081041897676,26.2099149476606,13320.109094,6210.018566,-5719.58416976359,1390.50635823641,NA,NA,main,main
66,69,342.8347014,115.081041897676,26.2099149476606,113.953044159075,25.390395262856,13662.9437954,13320.109094,1390.50635823641,1733.34105963641,NA,NA,main,main
66,67,415.7441158,115.081041897676,26.2099149476606,121.582420208705,29.639377253677,13735.8532098,13320.109094,1390.50635823641,1806.25047403641,NA,NA,main,main
62,63,7621.656358,114.824050643821,26.182557900369,139.600394035004,36.4028417397619,13831.674924,6210.018566,-5719.58416976359,1902.07218823641,NA,NA,main,main
69,70,216.9182468,113.953044159075,25.390395262856,110.885575375348,26.1733723607956,13879.8620422,13662.9437954,1733.34105963641,1950.25930643641,NA,NA,main,main
45,46,686.9232471,104.909877149809,20.5847923939866,102.555747720615,19.0763594098941,13884.9290621,13198.005815,1268.40307923641,1955.32632633641,NA,NA,main,main
46,50,5.593800651,102.555747720615,19.0763594098941,102.345334373584,18.9415639426624,13890.522862751,13884.9290621,1955.32632633641,1960.92012698741,NA,NA,main,main
50,51,2.997754037,102.345334373584,18.9415639426624,103.048961448779,17.5112686452782,13893.520616788,13890.522862751,1960.92012698741,1963.91788102441,NA,NA,main,main
67,68,163.3060232,121.582420208705,29.639377253677,121.541801956046,29.58718541354,13899.159233,13735.8532098,1806.25047403641,1969.55649723641,NA,NA,main,main
46,47,14.35151348,102.555747720615,19.0763594098941,101.592264034727,21.699956336457,13899.28057558,13884.9290621,1955.32632633641,1969.67783981641,NA,NA,main,main
70,71,20.49376434,110.885575375348,26.1733723607956,111.544631541049,27.2135470645657,13900.35580654,13879.8620422,1950.25930643641,1970.75307077641,NA,NA,main,main
70,73,27.06522792,110.885575375348,26.1733723607956,102.502430302566,24.3816794715817,13906.92727012,13879.8620422,1950.25930643641,1977.32453435641,NA,NA,main,main
47,49,19.59343832,101.592264034727,21.699956336457,101.425654325637,22.5224302419416,13918.8740139,13899.28057558,1969.67783981641,1989.27127813641,NA,NA,main,main
63,64,92.33058786,139.600394035004,36.4028417397619,139.263291259643,36.7250456737727,13924.00551186,13831.674924,1902.07218823641,1994.40277609641,NA,NA,main,main
50,58,33.83494961,102.345334373584,18.9415639426624,102.153885650694,18.6113759435188,13924.357812361,13890.522862751,1960.92012698741,1994.75507659741,NA,NA,main,main
51,52,32.43011107,103.048961448779,17.5112686452782,102.836659964121,15.8049567990725,13925.950727858,13893.520616788,1963.91788102441,1996.34799209441,NA,NA,main,main
73,74,20.49291514,102.502430302566,24.3816794715817,102.056810966524,24.0911328797314,13927.42018526,13906.92727012,1977.32453435641,1997.81744949641,NA,NA,main,main
74,75,7.689256799,102.056810966524,24.0911328797314,101.973926461872,23.9721995663785,13935.109442059,13927.42018526,1997.81744949641,2005.50670629541,NA,NA,main,main
64,65,12.89427259,139.263291259643,36.7250456737727,139.273285053047,36.5659886566189,13936.89978445,13924.00551186,1994.40277609641,2007.29704868641,NA,NA,main,main
58,60,14.56280488,102.153885650694,18.6113759435188,102.096601214035,18.5587050223701,13938.920617241,13924.357812361,1994.75507659741,2009.31788147741,NA,NA,main,main
47,48,43.17691131,101.592264034727,21.699956336457,101.576130739059,21.2840076723615,13942.45748689,13899.28057558,1969.67783981641,2012.85475112641,NA,NA,main,main
52,53,18.20255862,102.836659964121,15.8049567990725,106.284456617934,15.0740875428168,13944.153286478,13925.950727858,1996.34799209441,2014.55055071441,NA,NA,main,main
60,61,6.058921023,102.096601214035,18.5587050223701,102.116831782658,18.6217783626773,13944.979538264,13938.920617241,2009.31788147741,2015.37680250041,NA,NA,main,main
53,54,4.07866578,106.284456617934,15.0740875428168,106.711515692171,16.6009401147891,13948.231952258,13944.153286478,2014.55055071441,2018.62921649441,NA,NA,main,main
53,57,5.219860138,106.284456617934,15.0740875428168,106.353873348335,13.6045057992224,13949.373146616,13944.153286478,2014.55055071441,2019.77041085241,NA,NA,main,main
71,72,51.01304736,111.544631541049,27.2135470645657,111.63030878833,27.4296531429336,13951.3688539,13900.35580654,1970.75307077641,2021.76611813641,NA,NA,main,main
58,59,27.07680129,102.153885650694,18.6113759435188,102.169758550694,18.5779462745764,13951.434613651,13924.357812361,1994.75507659741,2021.83187788741,NA,NA,main,main
54,55,3.44055765,106.711515692171,16.6009401147891,106.767081392886,16.5864328705599,13951.672509908,13948.231952258,2018.62921649441,2022.06977414441,NA,NA,main,main
55,56,0.5332737853,106.767081392886,16.5864328705599,106.854004342543,16.5529001108653,13952.2057836933,13951.672509908,2022.06977414441,2022.60304792971,NA,NA,main,main
68,29,53.28459798,121.541801956046,29.58718541354,119.237523891493,27.9506514048334,13952.44383098,13899.159233,1969.55649723641,2022.84109521641,SC2_KF294457.1,Rhinolophus monoceros,main,main
68,30,53.28459798,121.541801956046,29.58718541354,122.315194851906,30.135372435403,13952.44383098,13899.159233,1969.55649723641,2022.84109521641,SC2_MG772933.1,Rhinolophus pusillus,main,main
