node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
39,40,108.589241742079,107.6937614994,21.6359187502782,111.698020374953,23.3124508686819,108.589241742079,0,1100.95314075261,1209.54238249469,NA,main,main
40,44,374.524539103666,111.698020374953,23.3124508686819,112.134558758581,23.8930060206143,483.113780845745,108.589241742079,1209.54238249469,1584.06692159835,NA,main,main
39,47,523.243562677627,107.6937614994,21.6359187502782,111.243952082539,30.1071292488022,523.243562677627,0,1100.95314075261,1624.19670343023,NA,main,main
47,53,8.07704972059537,111.243952082539,30.1071292488022,110.986834938919,29.8381082805043,531.320612398222,523.243562677627,1624.19670343023,1632.27375315083,NA,main,main
44,45,54.2985917472391,112.134558758581,23.8930060206143,112.96782183791,24.0638968386273,537.412372592984,483.113780845745,1584.06692159835,1638.36551334559,NA,main,main
53,54,30.5071797836792,110.986834938919,29.8381082805043,101.376106521105,24.3668431130753,561.827792181901,531.320612398222,1632.27375315083,1662.78093293451,NA,main,main
45,46,127.676716480742,112.96782183791,24.0638968386273,114.386494411923,23.2016975142255,665.089089073726,537.412372592984,1638.36551334559,1766.04222982633,NA,main,main
53,73,234.611613889236,110.986834938919,29.8381082805043,114.452402979089,28.851864809892,765.932226287458,531.320612398222,1632.27375315083,1866.88536704007,NA,main,main
54,55,215.127397195087,101.376106521105,24.3668431130753,101.369396530904,23.9551018275334,776.955189376988,561.827792181901,1662.78093293451,1877.9083301296,NA,main,main
40,41,715.585638247999,111.698020374953,23.3124508686819,140.838257040151,40.0156275620658,824.174879990078,108.589241742079,1209.54238249469,1925.12802074269,NA,main,main
55,59,48.4033865931064,101.369396530904,23.9551018275334,100.725503303993,23.5962913339831,825.358575970094,776.955189376988,1877.9083301296,1926.3117167227,NA,main,main
55,56,60.7435104258584,101.369396530904,23.9551018275334,101.779287234158,24.1613548100573,837.698699802846,776.955189376988,1877.9083301296,1938.65184055545,NA,main,main
54,67,276.270055692627,101.376106521105,24.3668431130753,106.110525267665,16.5888386432588,838.097847874528,561.827792181901,1662.78093293451,1939.05098862714,NA,main,main
59,60,35.0681822628031,100.725503303993,23.5962913339831,101.442962758498,23.4452685172533,860.426758232897,825.358575970094,1926.3117167227,1961.37989898551,NA,main,main
67,68,31.4596119121855,106.110525267665,16.5888386432588,106.868677300933,16.7225660896776,869.557459786713,838.097847874528,1939.05098862714,1970.51060053932,NA,main,main
60,61,18.0310046909423,101.442962758498,23.4452685172533,101.388818198609,21.7442597576071,878.45776292384,860.426758232897,1961.37989898551,1979.41090367645,NA,main,main
41,42,55.9793977304915,140.838257040151,40.0156275620658,139.687645558446,35.6504316868264,880.154277720569,824.174879990078,1925.12802074269,1981.10741847318,NA,main,main
56,57,50.4220339439507,101.779287234158,24.1613548100573,101.297238725378,22.8861124110622,888.120733746797,837.698699802846,1938.65184055545,1989.07387449941,NA,main,main
61,66,19.1332048105247,101.388818198609,21.7442597576071,101.622199056643,21.3601969612043,897.590967734365,878.45776292384,1979.41090367645,1998.54410848697,NA,main,main
73,74,135.693353228737,114.452402979089,28.851864809892,122.374349620548,29.8225026997067,901.625579516194,765.932226287458,1866.88536704007,2002.5787202688,NA,main,main
57,58,14.0235949183355,101.297238725378,22.8861124110622,101.296884763098,22.8663457474414,902.144328665133,888.120733746797,1989.07387449941,2003.09746941774,NA,main,main
68,69,33.5234375372489,106.868677300933,16.7225660896776,106.430999443585,14.0755991184499,903.080897323962,869.557459786713,1970.51060053932,2004.03403807657,NA,main,main
61,62,25.2919312791834,101.388818198609,21.7442597576071,102.067940560844,18.9776261857393,903.749694203023,878.45776292384,1979.41090367645,2004.70283495563,NA,main,main
62,63,0.805123402706545,102.067940560844,18.9776261857393,102.041382161363,18.9556346069308,904.55481760573,903.749694203023,2004.70283495563,2005.50795835834,NA,main,main
63,64,2.1600877979968,102.041382161363,18.9556346069308,102.120791280848,18.7612662652792,906.714905403727,904.55481760573,2005.50795835834,2007.66804615633,NA,main,main
69,33,6.89472904671714,106.430999443585,14.0755991184499,106.264522596945,13.4757390336828,909.975626370679,903.080897323962,2004.03403807657,2010.92876712329,SC2_EPI_ISL_852604,main,main
69,32,6.89472904671714,106.430999443585,14.0755991184499,106.430491159398,13.8066980124658,909.975626370679,903.080897323962,2004.03403807657,2010.92876712329,SC2_EPI_ISL_852605,main,main
42,43,30.4870683880278,139.687645558446,35.6504316868264,138.963007634502,35.2164133096683,910.641346108597,880.154277720569,1981.10741847318,2011.59448686121,NA,main,main
46,37,245.957770173666,114.386494411923,23.2016975142255,119.074100106383,28.0495940660851,911.046859247392,665.089089073726,1766.04222982633,2012,SC2_KF294457.1,main,main
41,4,87.8719792573142,140.838257040151,40.0156275620658,141.111735369686,39.3538581385586,912.046859247392,824.174879990078,1925.12802074269,2013,SC2_LC556375.1,main,main
