node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade,distance,dispersal_velocity
28,23,719.676539677867,120.435260381761,27.6111626200603,141.403715397967,39.228249539983,719.676539677867,0.0,1293.36181648652,2013.03835616438,SC2_LC556375.1,main,main,2328.1913880095713,3.235052498795762
28,29,91.9753600671796,120.435260381761,27.6111626200603,120.272208128741,28.1394761003465,91.9753600671796,0.0,1293.36181648652,1385.3371765537,,main,main,60.70819172376795,0.6600484268767871
29,30,222.347649945991,120.272208128741,28.1394761003465,120.943142906125,29.8517681380699,314.323010013171,91.9753600671796,1385.3371765537,1607.68482649969,,main,main,200.7269089883447,0.9027615494793938
30,35,229.412232418302,120.943142906125,29.8517681380699,119.977816785092,29.7890332052777,543.735242431473,314.323010013171,1607.68482649969,1837.09705891799,,main,main,93.56648484939687,0.4078530768088735
35,36,80.1251395215596,119.977816785092,29.7890332052777,119.778896123419,29.7121494019371,623.860381953032,543.735242431473,1837.09705891799,1917.22219843955,,main,main,21.043881462962798,0.26263768885295274
36,37,6.83800290578428,119.778896123419,29.7121494019371,116.211625814412,26.9247413160375,630.698384858817,623.860381953032,1917.22219843955,1924.06020134533,,main,main,466.65424060912255,68.24422964406448
37,38,24.5966382419048,116.211625814412,26.9247413160375,101.792071578053,22.5548027575564,655.295023100721,630.698384858817,1924.06020134533,1948.65683958724,,main,main,1535.730408565706,62.43659777657391
37,51,35.4544077091533,116.211625814412,26.9247413160375,112.815313472234,26.2210789627982,666.15279256797,630.698384858817,1924.06020134533,1959.51460905449,,main,main,347.2172250876802,9.793344397008184
38,39,14.5693643473075,101.792071578053,22.5548027575564,101.85042258402,22.6425284865982,669.864387448029,655.295023100721,1948.65683958724,1963.22620393455,,main,main,11.418039796237494,0.7837019875439941
39,40,5.5281273192947,101.85042258402,22.6425284865982,101.741905021001,22.5915787294126,675.392514767324,669.864387448029,1963.22620393455,1968.75433125384,,main,main,12.502152627957653,2.261552946568663
40,41,3.01482497826785,101.741905021001,22.5915787294126,99.9832133652658,20.6257872973004,678.407339745592,675.392514767324,1968.75433125384,1971.76915623211,,main,main,283.78220793749625,94.12891626648977
38,50,33.4241322191498,101.792071578053,22.5548027575564,101.528665621312,23.6268505212653,688.719155319871,655.295023100721,1948.65683958724,1982.08097180639,,main,main,121.75266237369618,3.642657394226679
41,43,14.1501835509751,99.9832133652658,20.6257872973004,101.798285489885,21.7801759832175,692.557523296567,678.407339745592,1971.76915623211,1985.91933978308,,main,main,227.7068192696336,16.092145974597067
43,48,12.6352318255801,101.798285489885,21.7801759832175,101.789950327362,21.7479810348053,705.192755122147,692.557523296567,1985.91933978308,1998.55457160866,,main,main,3.667619927158079,0.29026930235921444
36,53,86.375919737415,119.778896123419,29.7121494019371,122.207468400929,30.1041771422957,710.236301690447,623.860381953032,1917.22219843955,2003.59811817696,,main,main,238.5261283797807,2.7614887239974544
48,49,7.7713369950534,101.789950327362,21.7479810348053,101.868713122887,21.3767172318362,712.9640921172,705.192755122147,1998.55457160866,2006.32590860372,,main,main,41.90962436033381,5.392846094180456
41,42,38.0631388298215,99.9832133652658,20.6257872973004,106.090031710757,13.7170041319573,716.470478575413,678.407339745592,1971.76915623211,2009.83229506193,,main,main,1003.0167578359897,26.351393728205927
42,14,1.13482822574154,106.090031710757,13.7170041319573,106.354423062412,13.7134090295029,717.605306801155,716.470478575413,2009.83229506193,2010.96712328767,SC2_EPI_ISL_852605,main,main,28.600841827487066,25.20279384908512
42,9,1.13482822574154,106.090031710757,13.7170041319573,106.100187818013,13.7469350638649,717.605306801155,716.470478575413,2009.83229506193,2010.96712328767,SC2_EPI_ISL_852604,main,main,3.4888999244023053,3.0743859249028858
29,17,626.701179610687,120.272208128741,28.1394761003465,119.363824955899,27.8782566775184,718.676539677867,91.9753600671796,1385.3371765537,2012.03835616438,SC2_KF294457.1,main,main,93.91539048591946,0.14985673163127064
40,6,44.8429290201325,101.741905021001,22.5915787294126,101.535962849267,23.3617054628405,720.235443787456,675.392514767324,1968.75433125384,2013.59726027397,SC2_MN996532.2,main,main,87.86210554695784,1.9593302102882624
53,10,11.9361283983787,122.207468400929,30.1041771422957,122.18940319402,29.8620397247762,722.172430088826,710.236301690447,2003.59811817696,2015.53424657534,SC2_MG772934.1,main,main,26.898010229638167,2.253495382413259
43,44,30.8422797628407,101.798285489885,21.7801759832175,102.287642613793,18.8581810826943,723.399803059407,692.557523296567,1985.91933978308,2016.76161954592,,main,main,327.5004381718444,10.61855481145147
44,45,0.305181342487797,102.287642613793,18.8581810826943,102.27331426744,18.8355166734953,723.704984401895,723.399803059407,2016.76161954592,2017.06680088841,,main,main,2.928126999256,9.594711706116453
53,1,13.5251694942689,122.207468400929,30.1041771422957,122.293598495774,30.0765510569678,723.761471184716,710.236301690447,2003.59811817696,2017.12328767123,SC2_MG772933.1,main,main,8.849615734409777,0.6543071965315982
45,46,1.46027803154174,102.27331426744,18.8355166734953,102.208816194573,18.7072205893711,725.165262433437,723.704984401895,2017.06680088841,2018.52707891995,,main,main,15.745268174828112,10.782376941057239
50,7,36.5382062758039,101.528665621312,23.6268505212653,101.812485061389,24.4175631454753,725.257361595675,688.719155319871,1982.08097180639,2018.61917808219,SC2_MW703458.1,main,main,92.21515639928273,2.5238008593856143
48,12,20.9632366105148,101.789950327362,21.7479810348053,101.791215710287,21.6338282378868,726.155991732662,705.192755122147,1998.55457160866,2019.51780821918,SC2_EPI_ISL_412977,main,main,12.640375267001088,0.6029782281167829
