node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
28,29,34245.2217,115.577965264333,27.5249518918616,112.924987545746,25.3365211675485,34245.2217,0,-43788.5308423032,-9543.30914230315,NA
28,53,4196.278748,115.577965264333,27.5249518918616,114.320112104456,26.4346381504187,4196.278748,0,-43788.5308423032,-39592.2520943032,NA
29,30,10481.7068,112.924987545746,25.3365211675485,110.407258499301,23.1758356706815,44726.9285,34245.2217,-9543.30914230315,938.397657696846,NA
30,31,784.7889315,110.407258499301,23.1758356706815,109.044917441487,23.4241038015135,45511.7174315,44726.9285,938.397657696846,1723.18658919685,NA
31,37,200.3032866,109.044917441487,23.4241038015135,105.860596476486,15.6672530959993,45712.0207181,45511.7174315,1723.18658919685,1923.48987579684,NA
31,32,242.3461129,109.044917441487,23.4241038015135,111.678579277033,27.5482817005416,45754.0635444,45511.7174315,1723.18658919685,1965.53270209684,NA
37,39,49.38913041,105.860596476486,15.6672530959993,102.840110508671,18.6623740976272,45761.40984851,45712.0207181,1923.48987579684,1972.87900620685,NA
39,40,3.866081552,102.840110508671,18.6623740976272,102.897253117575,18.6720527885098,45765.275930062,45761.40984851,1972.87900620685,1976.74508775885,NA
39,46,19.1260223,102.840110508671,18.6623740976272,101.480006546929,21.1481756726809,45780.53587081,45761.40984851,1972.87900620685,1992.00502850685,NA
46,47,2.848661111,101.480006546929,21.1481756726809,101.479150285007,21.4709312964425,45783.384531921,45780.53587081,1992.00502850685,1994.85368961785,NA
32,33,30.23311317,111.678579277033,27.5482817005416,111.866706705913,28.7156739174773,45784.29665757,45754.0635444,1965.53270209684,1995.76581526685,NA
33,35,12.13180683,111.866706705913,28.7156739174773,111.612026019109,29.1257871350834,45796.4284644,45784.29665757,1995.76581526685,2007.89762209684,NA
40,41,31.29701407,102.897253117575,18.6720527885098,102.115734835639,18.5990086074265,45796.572944132,45765.275930062,1976.74508775885,2008.04210182884,NA
33,34,14.9573273,111.866706705913,28.7156739174773,122.291389774991,29.7852703107053,45799.25398487,45784.29665757,1995.76581526685,2010.72314256685,NA
41,44,3.225360338,102.115734835639,18.5990086074265,102.123644300516,18.7011773411215,45799.79830447,45796.572944132,2008.04210182884,2011.26746216685,NA
47,48,16.53092367,101.479150285007,21.4709312964425,101.525106891591,21.4979321820289,45799.915455591,45783.384531921,1994.85368961785,2011.38461328784,NA
44,45,0.4583956063,102.123644300516,18.7011773411215,102.190052649096,18.7424933953435,45800.2567000763,45799.79830447,2011.26746216685,2011.72585777314,NA
41,42,7.972023773,102.115734835639,18.5990086074265,102.354410098907,18.7447841484853,45804.544967905,45796.572944132,2008.04210182884,2016.01412560184,NA
29,49,11559.70011,112.924987545746,25.3365211675485,111.607825916942,24.6934278242537,45804.92181,34245.2217,-9543.30914230315,2016.39096769684,NA
42,43,0.7186887607,102.354410098907,18.7447841484853,102.130360679386,18.2897337833022,45805.2636566657,45804.544967905,2016.01412560184,2016.73281436255,NA
49,52,2.302425552,111.607825916942,24.6934278242537,109.049445591874,23.6974068237627,45807.224235552,45804.92181,2016.39096769684,2018.69339324884,NA
49,50,2.371208694,111.607825916942,24.6934278242537,111.842748800753,24.9073556134666,45807.293018694,45804.92181,2016.39096769684,2018.76217639084,NA
37,38,96.13908682,105.860596476486,15.6672530959993,106.317900641065,13.6471261552748,45808.15980492,45712.0207181,1923.48987579684,2019.62896261685,NA
50,51,0.9840781189,111.842748800753,24.9073556134666,112.034689287433,24.8083064400723,45808.2770968129,45807.293018694,2018.76217639084,2019.74625450975,NA
53,27,41612.92638,114.320112104456,26.4346381504187,119.123462412391,27.8784083366507,45809.205128,4196.278748,-39592.2520943032,2020.67428569684,SC2_KF294457.1
53,26,41612.92638,114.320112104456,26.4346381504187,141.388422849165,39.5486359419277,45809.205128,4196.278748,-39592.2520943032,2020.67428569684,SC2_LC556375.1
30,6,1082.27663,110.407258499301,23.1758356706815,111.70088665768,23.6625596806313,45809.20513,44726.9285,938.397657696846,2020.67428769685,SC2_MT121216.1
48,16,9.289674768,101.525106891591,21.4979321820289,101.301369887378,21.6290454598969,45809.205130359,45799.915455591,2011.38461328784,2020.67428805585,SC2_MW703458.1
48,17,9.289674768,101.525106891591,21.4979321820289,101.642152858136,21.6136185144124,45809.205130359,45799.915455591,2011.38461328784,2020.67428805585,SC2_EPI_ISL_412977
46,15,28.66925955,101.480006546929,21.1481756726809,101.290162076215,23.408451593773,45809.20513036,45780.53587081,1992.00502850685,2020.67428805685,SC2_MN996532.2
47,18,25.82059844,101.479150285007,21.4709312964425,101.404474479789,21.4091643199378,45809.205130361,45783.384531921,1994.85368961785,2020.67428805784,SC2_MZ081381.1
40,19,43.9292003,102.897253117575,18.6720527885098,101.363934703549,13.7956385613924,45809.205130362,45765.275930062,1976.74508775885,2020.67428805885,SC2_MW251308.1
38,13,1.045325443,106.317900641065,13.6471261552748,106.299635506098,13.6330520712917,45809.205130363,45808.15980492,2019.62896261685,2020.67428805984,SC2_EPI_ISL_852604
38,14,1.045325443,106.317900641065,13.6471261552748,106.412280995859,13.5599487234987,45809.205130363,45808.15980492,2019.62896261685,2020.67428805984,SC2_EPI_ISL_852605
44,24,9.406825897,102.123644300516,18.7011773411215,114.203801481954,30.6327735067314,45809.205130367,45799.79830447,2011.26746216685,2020.67428806385,SC2_MN908947.3
45,25,8.948430291,102.190052649096,18.7424933953435,102.093759856703,18.6202592166241,45809.2051303673,45800.2567000763,2011.72585777314,2020.67428806414,SC2_MZ937001.1
