time	95%HPD_lower_value	95%HPD_higher_value
1997.3209814235	NA	NA
1997.51424660927	0	0
1997.70751179503	0	4.40402389424594
1997.90077698079	0	14.0415572661723
1998.09404216656	0	38.3846536313164
1998.28730735232	0	103.696984828421
1998.48057253809	0	148.495425059003
1998.67383772385	0	193.177717343297
1998.86710290962	11.6364715990895	323.875356483183
1999.06036809539	71.7820189326797	491.184414828578
1999.25363328115	121.894190607211	599.194589202841
1999.44689846691	176.795881124549	687.246637988305
1999.64016365268	242.959325037732	870.926444393978
1999.83342883844	323.684971877025	1083.4783589522
2000.02669402421	443.089451286004	1383.52205654859
2000.21995920997	611.513614833369	1814.59970631951
2000.41322439574	765.59238253007	2129.52581835009
2000.60648958151	880.145762961356	2908.52283355736
2000.79975476727	1099.5662311982	3212.65105243415
2000.99301995303	1614.82750937698	4715.30184715329
2001.1862851388	2277.99136757567	5666.86231857225
2001.37955032456	2600.10550011183	6064.98656551892
2001.57281551033	3015.45204952809	6317.99077044823
2001.76608069609	3486.90304967249	6614.07706566633
2001.95934588186	3976.27247528303	6827.53712364027
2002.15261106763	4432.73870765414	7241.85386490302
2002.34587625339	4575.16125835027	7661.38335629581
2002.53914143915	4718.70707601423	7993.76291702939
2002.73240662492	4858.88947446066	8325.8705985208
2002.92567181068	5099.71481705815	8657.46078421619
2003.11893699645	5328.74531358607	8800.75130768768
2003.31220218222	5330.58135348351	8812.86867828536
2003.50546736798	5367.89974504751	8824.98021848587
2003.69873255375	5367.89974504751	8837.08591162108
2003.89199773951	5426.50887058582	8849.1857410022
2004.08526292527	5609.61656036253	8861.27968991945
2004.27852811104	5645.80307984769	8873.36774164208
2004.4717932968	5664.93058414976	8885.44987941837
2004.66505848257	5713.1192875186	8897.52608647587
2004.85832366834	5724.60689126276	8909.59634602084
2005.0515888541	5739.35607094077	8957.7774202959
2005.24485403987	5784.47452380671	9032.67948115913
2005.43811922563	5930.01980716264	9111.87225873486
2005.63138441139	6021.85167667277	9196.61424892091
2005.82464959716	6021.85167667277	9282.05690105594
2006.01791478292	6147.19989800903	9384.07058307726
2006.21117996869	6306.45317853841	9458.86429428279
2006.40444515446	6391.30712214734	9532.78876639629
2006.59771034022	6528.24342360753	9595.60742760813
2006.79097552599	6882.18705443836	9719.57905787985
2006.98424071175	6882.18705443836	9719.57905787985
2007.17750589751	6895.79596232779	9719.57905787985
2007.37077108328	6896.9542692571	9719.57905787985
2007.56403626904	7032.6223363881	9719.57905787985
2007.75730145481	7135.70797397143	9756.99552936231
2007.95056664058	7135.70797397143	9756.99552936231
2008.14383182634	7135.70797397143	9756.99552936231
2008.33709701211	7135.70797397143	9756.99552936231
2008.53036219787	7135.70797397143	9756.99552936231
2008.72362738363	7135.70797397143	9756.99552936231
2008.9168925694	7135.70797397143	9756.99552936231
2009.11015775516	7135.70797397143	9756.99552936231
2009.30342294093	7135.70797397143	9756.99552936231
2009.4966881267	7135.70797397143	9756.99552936231
2009.68995331246	7135.70797397143	9756.99552936231
2009.88321849823	7135.70797397143	9756.99552936231
2010.07648368399	7135.70797397143	9756.99552936231
2010.26974886975	7135.70797397143	9756.99552936231
2010.46301405552	7135.70797397143	9756.99552936231
2010.65627924128	7135.70797397143	9756.99552936231
2010.84954442705	7135.70797397143	9756.99552936231
2011.04280961282	7135.70797397143	9756.99552936231
2011.23607479858	7135.70797397143	9756.99552936231
2011.42933998435	7135.70797397143	9756.99552936231
2011.62260517011	7135.70797397143	9756.99552936231
2011.81587035587	7135.70797397143	9756.99552936231
2012.00913554164	7135.70797397143	9756.99552936231
2012.20240072741	7135.70797397143	9756.99552936231
2012.39566591317	7135.70797397143	9756.99552936231
2012.58893109894	7135.70797397143	9756.99552936231
2012.7821962847	7135.70797397143	9756.99552936231
2012.97546147047	7135.70797397143	9756.99552936231
2013.16872665623	7135.70797397143	9756.99552936231
2013.36199184199	7135.70797397143	9756.99552936231
2013.55525702776	7135.70797397143	9756.99552936231
2013.74852221353	7135.70797397143	9756.99552936231
2013.94178739929	7135.70797397143	9756.99552936231
2014.13505258506	7135.70797397143	9756.99552936231
2014.32831777082	7135.70797397143	9756.99552936231
2014.52158295659	7135.70797397143	9756.99552936231
2014.71484814235	7135.70797397143	9756.99552936231
2014.90811332811	7135.70797397143	9756.99552936231
2015.10137851388	7135.70797397143	9756.99552936231
2015.29464369965	7135.70797397143	9756.99552936231
2015.48790888541	7135.70797397143	9756.99552936231
2015.68117407118	7135.70797397143	9756.99552936231
2015.87443925694	7135.70797397143	9756.99552936231
2016.06770444271	7135.70797397143	9756.99552936231
2016.26096962847	7135.70797397143	9756.99552936231
2016.45423481423	7135.70797397143	9756.99552936231
2016.6475	7135.70797397143	9756.99552936231
