time	95%HPD_lower_value	95%HPD_higher_value
1997.3209814235	NA	NA
1997.51424660927	0	0
1997.70751179503	0	4.40402389424594
1997.90077698079	0	12.1249710770588
1998.09404216656	0	24.2677622012707
1998.28730735232	0	89.2054265048612
1998.48057253809	0	109.408324926804
1998.67383772385	0	170.937842104139
1998.86710290962	9.56265872427313	256.455676942836
1999.06036809539	52.8132304440637	336.870597849154
1999.25363328115	101.320953919518	433.698159365971
1999.44689846691	152.63016856308	566.599600435437
1999.64016365268	201.669700544786	735.768716954022
1999.83342883844	255.775137613396	901.732256331023
2000.02669402421	364.565421300516	1093.43167600514
2000.21995920997	521.077461348122	1318.05994578705
2000.41322439574	658.365389626537	1619.64313388032
2000.60648958151	751.306442439988	1750.23402245884
2000.79975476727	899.523071780039	1929.23053630513
2000.99301995303	1236.36829348978	2751.08614544577
2001.1862851388	1630.40171634808	3489.09474263433
2001.37955032456	2104.65155775105	3968.77511133041
2001.57281551033	2407.41749207518	3982.42165243072
2001.76608069609	2916.4678474353	4002.72558472015
2001.95934588186	3422.04479389378	4020.2795412042
2002.15261106763	3897.08528577766	4088.77701216952
2002.34587625339	3946.81369501853	4089.54723722835
2002.53914143915	3967.07484939691	4090.37062824454
2002.73240662492	3985.58336257816	4093.70843264597
2002.92567181068	4012.2969571672	4107.25212986087
2003.11893699645	4023.03274530013	4149.16409794881
2003.31220218222	4024.89373079413	4149.16409794881
2003.50546736798	4028.89332221724	4150.42534546784
2003.69873255375	4030.88618944852	4150.42534546784
2003.89199773951	4040.34105006799	4152.3839832476
2004.08526292527	4056.25453818024	4188.29801113381
2004.27852811104	4068.34846725064	4188.29801113381
2004.4717932968	4072.66661906123	4188.29801113381
2004.66505848257	4073.12360453429	4188.29801113381
2004.85832366834	4073.12360453429	4191.30495152785
2005.0515888541	4074.01829044761	4205.98757740985
2005.24485403987	4075.82946760691	4205.98757740985
2005.43811922563	4077.78530996353	4207.89476616792
2005.63138441139	4079.5683905896	4207.89476616792
2005.82464959716	4079.5683905896	4207.89476616792
2006.01791478292	4079.5683905896	4207.89476616792
2006.21117996869	4079.5683905896	4207.89476616792
2006.40444515446	4079.5683905896	4207.89476616792
2006.59771034022	4079.5683905896	4207.89476616792
2006.79097552599	4079.5683905896	4207.89476616792
2006.98424071175	4079.5683905896	4207.89476616792
2007.17750589751	4079.5683905896	4207.89476616792
2007.37077108328	4079.5683905896	4207.89476616792
2007.56403626904	4079.91106351766	4207.89476616792
2007.75730145481	4079.91106351766	4207.89476616792
2007.95056664058	4079.91106351766	4207.89476616792
2008.14383182634	4079.91106351766	4207.89476616792
2008.33709701211	4079.91106351766	4207.89476616792
2008.53036219787	4079.91106351766	4207.89476616792
2008.72362738363	4079.98961092658	4207.89476616792
2008.9168925694	4079.98961092658	4207.89476616792
2009.11015775516	4079.98961092658	4207.89476616792
2009.30342294093	4079.98961092658	4207.89476616792
2009.4966881267	4079.98961092658	4207.89476616792
2009.68995331246	4079.98961092658	4207.89476616792
2009.88321849823	4079.98961092658	4207.89476616792
2010.07648368399	4079.98961092658	4207.89476616792
2010.26974886975	4079.98961092658	4207.89476616792
2010.46301405552	4079.98961092658	4207.89476616792
2010.65627924128	4079.98961092658	4207.89476616792
2010.84954442705	4079.98961092658	4207.89476616792
2011.04280961282	4079.98961092658	4207.89476616792
2011.23607479858	4079.98961092658	4207.89476616792
2011.42933998435	4079.98961092658	4207.89476616792
2011.62260517011	4079.98961092658	4207.89476616792
2011.81587035587	4079.98961092658	4207.89476616792
2012.00913554164	4079.98961092658	4207.89476616792
2012.20240072741	4079.98961092658	4207.89476616792
2012.39566591317	4079.98961092658	4207.89476616792
2012.58893109894	4079.98961092658	4207.89476616792
2012.7821962847	4079.98961092658	4207.89476616792
2012.97546147047	4079.98961092658	4207.89476616792
2013.16872665623	4079.98961092658	4207.89476616792
2013.36199184199	4079.98961092658	4207.89476616792
2013.55525702776	4079.98961092658	4207.89476616792
2013.74852221353	4079.98961092658	4207.89476616792
2013.94178739929	4079.98961092658	4207.89476616792
2014.13505258506	4079.98961092658	4207.89476616792
2014.32831777082	4079.98961092658	4207.89476616792
2014.52158295659	4079.98961092658	4207.89476616792
2014.71484814235	4079.98961092658	4207.89476616792
2014.90811332811	4079.98961092658	4207.89476616792
2015.10137851388	4079.98961092658	4207.89476616792
2015.29464369965	4079.98961092658	4207.89476616792
2015.48790888541	4079.98961092658	4207.89476616792
2015.68117407118	4079.98961092658	4207.89476616792
2015.87443925694	4079.98961092658	4207.89476616792
2016.06770444271	4079.98961092658	4207.89476616792
2016.26096962847	4079.98961092658	4207.89476616792
2016.45423481423	4079.98961092658	4207.89476616792
2016.6475	4079.98961092658	4207.89476616792
