time	95%HPD_lower_value	95%HPD_higher_value
1994.98283128544	NA	NA
1995.22500297259	0	0
1995.46717465973	0	0
1995.70934634688	0	0
1995.95151803402	0	0
1996.19368972117	0	0
1996.43586140831	0	0
1996.67803309546	0	0
1996.9202047826	0	0
1997.16237646975	0	0
1997.4045481569	0	0
1997.64671984404	0	0
1997.88889153119	0	0
1998.13106321833	0	0
1998.37323490548	0	0
1998.61540659262	0	0
1998.85757827977	0	0
1999.09974996692	0	0
1999.34192165406	0	0
1999.58409334121	0	0
1999.82626502835	0	0
2000.0684367155	0	0
2000.31060840264	0	0
2000.55278008979	0	0
2000.79495177693	0	12.0023821885688
2001.03712346408	0	33.3973347546427
2001.27929515123	0	63.0592897434316
2001.52146683837	0	129.540390003205
2001.76363852552	0	173.346456936658
2002.00581021266	0	212.472062844902
2002.24798189981	0	286.784114983506
2002.49015358695	0	365.227861593435
2002.7323252741	0	423.595064197307
2002.97449696124	0	457.450706839927
2003.21666864839	0	478.604896557222
2003.45884033554	0	533.996031289667
2003.70101202268	0	575.89613926657
2003.94318370983	0	648.781174004691
2004.18535539697	0	706.416535926383
2004.42752708412	0	759.000057613306
2004.66969877126	0	819.850962206922
2004.91187045841	0	875.776332296575
2005.15404214556	0	938.770811710076
2005.3962138327	0	999.674025188861
2005.63838551985	0	1082.23582823429
2005.88055720699	0	1152.50693887617
2006.12272889414	0	1222.72772726289
2006.36490058128	0	1306.72593891994
2006.60707226843	0	1362.53913314877
2006.84924395557	0	1432.50739533452
2007.09141564272	0	1469.20541943873
2007.33358732987	0	1554.65819333158
2007.57575901701	0	1614.71921467451
2007.81793070416	0	1675.23504246896
2008.0601023913	25.1398791324428	1729.84891591493
2008.30227407845	148.428646238062	1806.85121215551
2008.54444576559	263.839378065647	1890.81002991
2008.78661745274	361.47000953908	1978.4326443664
2009.02878913988	470.525813099154	2069.84812700617
2009.27096082703	580.957856440054	2145.11003493784
2009.51313251418	660.257305113676	2213.26410419608
2009.75530420132	733.493746723541	2291.35453314596
2009.99747588847	819.054305398899	2366.9749954946
2010.23964757561	863.002901856827	2431.13438666911
2010.48181926276	931.374145658022	2494.49823087054
2010.7239909499	988.19881845676	2558.63473487813
2010.96616263705	1060.10877531696	2615.94094059986
2011.2083343242	1129.70459395964	2660.62157545253
2011.45050601134	1209.4668467006	2730.9628577494
2011.69267769849	1278.49052558791	2809.20860605062
2011.93484938563	1354.66672604986	2888.64485597831
2012.17702107278	1421.51615873125	2974.39185512157
2012.41919275992	1471.48579183048	3024.32452680595
2012.66136444707	1514.97061637896	3065.72584406808
2012.90353613421	1559.07021142465	3120.68096254077
2013.14570782136	1603.3893968128	3165.35832223911
2013.38787950851	1638.94412842942	3225.20641283444
2013.63005119565	1678.60161651782	3285.34878064739
2013.8722228828	1711.18186127596	3338.73329693693
2014.11439456994	1784.25212748345	3395.45663543239
2014.35656625709	1851.6555653711	3488.20743198733
2014.59873794423	1913.7781836017	3544.96435370422
2014.84090963138	1967.95904543769	3593.7253828357
2015.08308131852	2025.92245188911	3634.83689574478
2015.32525300567	2083.67835283999	3682.69997637546
2015.56742469282	2142.75496442877	3724.48679405633
2015.80959637996	2209.45654592155	3834.79456769919
2016.05176806711	2273.53440836089	3856.83678264067
2016.29393975425	2351.72219364197	3955.7667800879
2016.5361114414	2370.65074263736	3994.84272015031
2016.77828312854	2406.26666599966	4038.86366106064
2017.02045481569	2450.58387626091	4089.58903776005
2017.26262650284	2503.7598444844	4097.28132317964
2017.50479818998	2561.82407898627	4147.90366867191
2017.74696987713	2597.47041193469	4210.86752244931
2017.98914156427	2632.95437466611	4285.25532294099
2018.23131325142	2709.08306472013	4376.9749093932
2018.47348493856	2774.99051980002	4481.67499548211
2018.71565662571	2864.14220160678	4610.40905844468
2018.95782831285	2931.66704445303	4806.25956271563
2019.2	2939.918952154	4806.25956271563
