time	95%HPD_lower_value	95%HPD_higher_value
1994.98283128544	NA	NA
1995.22500297259	0	0
1995.46717465973	0	0
1995.70934634688	0	0
1995.95151803402	0	0
1996.19368972117	0	0
1996.43586140831	0	0
1996.67803309546	0	0
1996.9202047826	0	0
1997.16237646975	0	0
1997.4045481569	0	0
1997.64671984404	0	0
1997.88889153119	0	0
1998.13106321833	0	0
1998.37323490548	0	0
1998.61540659262	0	0
1998.85757827977	0	0
1999.09974996692	0	0
1999.34192165406	0	0
1999.58409334121	0	0
1999.82626502835	0	0
2000.0684367155	0	0
2000.31060840264	0	0
2000.55278008979	0	0
2000.79495177693	0	11.5077056458081
2001.03712346408	0	33.3973347546427
2001.27929515123	0	63.0592897434316
2001.52146683837	0	129.540390003205
2001.76363852552	0	172.780150488521
2002.00581021266	0	206.935939904339
2002.24798189981	0	285.985168092916
2002.49015358695	0	290.232614053827
2002.7323252741	0	345.697579901598
2002.97449696124	0	362.859385094197
2003.21666864839	0	424.839023117075
2003.45884033554	0	458.42877528169
2003.70101202268	0	496.251087665884
2003.94318370983	0	550.624899790398
2004.18535539697	0	596.379156678619
2004.42752708412	0	630.714170329078
2004.66969877126	0	640.602274451971
2004.91187045841	0	684.151897900793
2005.15404214556	0	727.827246651492
2005.3962138327	0	745.16132420146
2005.63838551985	0	788.782728597548
2005.88055720699	0	844.901878269214
2006.12272889414	0	903.263977806782
2006.36490058128	0	953.771224755387
2006.60707226843	0	992.330214731401
2006.84924395557	0	1052.68323429347
2007.09141564272	0	1134.70115015048
2007.33358732987	0	1166.69595328966
2007.57575901701	0	1191.76948567628
2007.81793070416	0	1229.05375246227
2008.0601023913	24.5392410483124	1269.77070653846
2008.30227407845	128.306459605993	1301.80746384804
2008.54444576559	179.170171954683	1369.85279020092
2008.78661745274	255.863450773266	1441.32593965641
2009.02878913988	316.814827702443	1479.14532717318
2009.27096082703	369.228528467049	1526.69594558304
2009.51313251418	406.239930705504	1608.17721113288
2009.75530420132	455.606545393075	1675.80741742946
2009.99747588847	500.992425225361	1709.82942782647
2010.23964757561	551.129764878095	1747.3626110418
2010.48181926276	603.211766954267	1786.13067316446
2010.7239909499	643.865236763765	1829.61213952259
2010.96616263705	692.271330927337	1876.48335240811
2011.2083343242	731.764600342145	1890.44435531981
2011.45050601134	787.421087837119	1931.62734437571
2011.69267769849	821.511030955741	1971.55445127233
2011.93484938563	858.410163003122	1995.11302724652
2012.17702107278	904.683511103177	2057.56061254332
2012.41919275992	954.311464510414	2075.69586531796
2012.66136444707	985.267010085251	2092.3173127147
2012.90353613421	1002.39066935788	2118.63964238052
2013.14570782136	1010.11304708021	2144.37288877202
2013.38787950851	1020.96094305407	2171.41318231527
2013.63005119565	1021.58853974465	2212.67446085156
2013.8722228828	1044.13795824193	2269.06759324331
2014.11439456994	1055.62403262625	2321.21702813042
2014.35656625709	1075.75629169146	2357.46560909932
2014.59873794423	1089.03002777175	2390.23734227702
2014.84090963138	1111.42781448762	2421.32191321407
2015.08308131852	1133.32534997497	2448.51755769858
2015.32525300567	1140.32156963607	2471.92215409452
2015.56742469282	1159.67612937325	2493.05263506133
2015.80959637996	1179.81621767733	2499.38128050672
2016.05176806711	1203.46207341439	2536.35284133986
2016.29393975425	1240.22501691042	2585.67697086699
2016.5361114414	1253.77782496443	2613.95675918301
2016.77828312854	1274.7832784566	2645.20858333856
2017.02045481569	1276.33850198822	2684.51735424149
2017.26262650284	1296.45562725568	2699.52271619932
2017.50479818998	1304.0021518253	2732.69524082931
2017.74696987713	1310.86585271874	2744.16351422676
2017.98914156427	1310.86585271874	2744.16351422676
2018.23131325142	1310.86585271874	2744.16351422676
2018.47348493856	1310.86585271874	2744.16351422676
2018.71565662571	1310.86585271874	2744.16351422676
2018.95782831285	1310.86585271874	2744.16351422676
2019.2	1310.86585271874	2744.16351422676
